ticker,name,market,sector,source
A,Agilent Technologies,US,Health Care,sp500
AAPL,Apple Inc.,US,Information Technology,nasdaq100;sp500
ABBV,AbbVie,US,Health Care,sp500
ABNB,Airbnb,US,Consumer Discretionary,nasdaq100;sp500
ABT,Abbott Laboratories,US,Health Care,sp500
ACGL,Arch Capital Group,US,Financials,sp500
ACN,Accenture,US,Information Technology,sp500
ADBE,Adobe Inc.,US,Information Technology,nasdaq100;sp500
ADI,Analog Devices,US,Information Technology,nasdaq100;sp500
ADM,Archer Daniels Midland,US,Consumer Staples,sp500
ADP,Automatic Data Processing,US,Industrials,nasdaq100;sp500
ADSK,Autodesk,US,Information Technology,nasdaq100;sp500
AEE,Ameren,US,Utilities,sp500
AEP,American Electric Power,US,Utilities,nasdaq100;sp500
AES,AES Corporation,US,Utilities,sp500
AFL,Aflac,US,Financials,sp500
AIG,American International Group,US,Financials,sp500
AIZ,Assurant,US,Financials,sp500
AJG,Arthur J. Gallagher & Co.,US,Financials,sp500
AKAM,Akamai Technologies,US,Information Technology,sp500
ALB,Albemarle Corporation,US,Materials,sp500
ALGN,Align Technology,US,Health Care,sp500
ALL,Allstate,US,Financials,sp500
ALLE,Allegion,US,Industrials,sp500
ALNY,Alnylam Pharmaceuticals,US,,nasdaq100
AMAT,Applied Materials,US,Information Technology,nasdaq100;sp500
AMCR,Amcor,US,Materials,sp500
AMD,Advanced Micro Devices,US,Semiconductor,custom;nasdaq100;sp500
AME,Ametek,US,Industrials,sp500
AMGN,Amgen,US,Health Care,nasdaq100;sp500
AMP,Ameriprise Financial,US,Financials,sp500
AMT,American Tower,US,Real Estate,sp500
AMZN,Amazon,US,Consumer Discretionary,nasdaq100;sp500
ANET,Arista Networks,US,Information Technology,sp500
AON,Aon plc,US,Financials,sp500
AOS,A. O. Smith,US,Industrials,sp500
APA,APA Corporation,US,Energy,sp500
APD,Air Products,US,Materials,sp500
APH,Amphenol,US,Information Technology,sp500
APO,Apollo Global Management,US,Financials,sp500
APP,AppLovin,US,Information Technology,nasdaq100;sp500
APTV,Aptiv,US,Consumer Discretionary,sp500
ARE,Alexandria Real Estate Equities,US,Real Estate,sp500
ARES,Ares Management,US,Financials,sp500
ARM,Arm Holdings,US,,nasdaq100
ASML,ASML Holding,US,,nasdaq100
ATO,Atmos Energy,US,Utilities,sp500
AVB,AvalonBay Communities,US,Real Estate,sp500
AVGO,Broadcom,US,Semiconductor,custom;nasdaq100;sp500
AVY,Avery Dennison,US,Materials,sp500
AWK,American Water Works,US,Utilities,sp500
AXON,Axon Enterprise,US,Industrials,nasdaq100;sp500
AXP,American Express,US,Financials,sp500
AZO,AutoZone,US,Consumer Discretionary,sp500
BA,Boeing,US,Industrials,sp500
BAC,Bank of America,US,Financials,sp500
BALL,Ball Corporation,US,Materials,sp500
BAX,Baxter International,US,Health Care,sp500
BBY,Best Buy,US,Consumer Discretionary,sp500
BDX,Becton Dickinson,US,Health Care,sp500
BEN,Franklin Resources,US,Financials,sp500
BF-B,Brown–Forman,US,Consumer Staples,sp500
BG,Bunge Global,US,Consumer Staples,sp500
BIIB,Biogen,US,Health Care,sp500
BKNG,Booking Holdings,US,Consumer Discretionary,nasdaq100;sp500
BKR,Baker Hughes,US,Energy,nasdaq100;sp500
BLDR,Builders FirstSource,US,Industrials,sp500
BLK,BlackRock,US,Financials,sp500
BMY,Bristol Myers Squibb,US,Health Care,sp500
BNY,BNY Mellon,US,Financials,sp500
BR,Broadridge Financial Solutions,US,Industrials,sp500
BRK-B,Berkshire Hathaway,US,Financials,sp500
BRO,Brown & Brown,US,Financials,sp500
BSX,Boston Scientific,US,Health Care,sp500
BX,Blackstone Inc.,US,Financials,sp500
BXP,"BXP, Inc.",US,Real Estate,sp500
C,Citigroup,US,Financials,sp500
CAG,Conagra Brands,US,Consumer Staples,sp500
CAH,Cardinal Health,US,Health Care,sp500
CARR,Carrier Global,US,Industrials,sp500
CASY,Casey's,US,Consumer Staples,sp500
CAT,Caterpillar Inc.,US,Industrials,sp500
CB,Chubb Limited,US,Financials,sp500
CBOE,Cboe Global Markets,US,Financials,sp500
CBRE,CBRE Group,US,Real Estate,sp500
CCEP,Coca-Cola Europacific Partners,US,,nasdaq100
CCI,Crown Castle,US,Real Estate,sp500
CCL,Carnival Corporation,US,Consumer Discretionary,sp500
CDNS,Cadence Design Systems,US,Information Technology,nasdaq100;sp500
CDW,CDW Corporation,US,Information Technology,sp500
CEG,Constellation Energy,US,Utilities,nasdaq100;sp500
CF,CF Industries,US,Materials,sp500
CFG,Citizens Financial Group,US,Financials,sp500
CHD,Church & Dwight,US,Consumer Staples,sp500
CHRW,C.H. Robinson,US,Industrials,sp500
CHTR,Charter Communications,US,Communication Services,nasdaq100;sp500
CI,Cigna,US,Health Care,sp500
CIEN,Ciena,US,Information Technology,sp500
CINF,Cincinnati Financial,US,Financials,sp500
CL,Colgate-Palmolive,US,Consumer Staples,sp500
CLX,Clorox,US,Consumer Staples,sp500
CMCSA,Comcast,US,Communication Services,nasdaq100;sp500
CME,CME Group,US,Financials,sp500
CMG,Chipotle Mexican Grill,US,Consumer Discretionary,sp500
CMI,Cummins,US,Industrials,sp500
CMS,CMS Energy,US,Utilities,sp500
CNC,Centene Corporation,US,Health Care,sp500
CNP,CenterPoint Energy,US,Utilities,sp500
COF,Capital One,US,Financials,sp500
COHR,Coherent Corp.,US,Information Technology,sp500
COIN,Coinbase,US,Financials,sp500
COO,Cooper Companies (The),US,Health Care,sp500
COP,ConocoPhillips,US,Energy,sp500
COR,Cencora,US,Health Care,sp500
COST,Costco,US,Consumer Staples,nasdaq100;sp500
CPAY,Corpay,US,Financials,sp500
CPB,Campbell's Company (The),US,Consumer Staples,sp500
CPRT,Copart,US,Industrials,nasdaq100;sp500
CPT,Camden Property Trust,US,Real Estate,sp500
CRH,CRH plc,US,Materials,sp500
CRL,Charles River Laboratories,US,Health Care,sp500
CRM,Salesforce,US,Information Technology,sp500
CRWD,CrowdStrike,US,Information Technology,nasdaq100;sp500
CSCO,Cisco,US,Information Technology,nasdaq100;sp500
CSGP,CoStar Group,US,Real Estate,sp500
CSX,CSX Corporation,US,Industrials,nasdaq100;sp500
CTAS,Cintas,US,Industrials,nasdaq100;sp500
CTSH,Cognizant,US,Information Technology,nasdaq100;sp500
CTVA,Corteva,US,Materials,sp500
CVNA,Carvana,US,Consumer Discretionary,sp500
CVS,CVS Health,US,Health Care,sp500
CVX,Chevron Corporation,US,Energy,sp500
D,Dominion Energy,US,Utilities,sp500
DAL,Delta Air Lines,US,Industrials,sp500
DASH,DoorDash,US,Consumer Discretionary,nasdaq100;sp500
DD,DuPont,US,Materials,sp500
DDOG,Datadog,US,Information Technology,nasdaq100;sp500
DE,Deere & Company,US,Industrials,sp500
DECK,Deckers Brands,US,Consumer Discretionary,sp500
DELL,Dell Technologies,US,Information Technology,sp500
DG,Dollar General,US,Consumer Staples,sp500
DGX,Quest Diagnostics,US,Health Care,sp500
DHI,D. R. Horton,US,Consumer Discretionary,sp500
DHR,Danaher Corporation,US,Health Care,sp500
DIS,Walt Disney Company (The),US,Communication Services,sp500
DLR,Digital Realty,US,Real Estate,sp500
DLTR,Dollar Tree,US,Consumer Staples,sp500
DOC,Healthpeak Properties,US,Real Estate,sp500
DOV,Dover Corporation,US,Industrials,sp500
DOW,Dow Inc.,US,Materials,sp500
DPZ,Domino's,US,Consumer Discretionary,sp500
DRI,Darden Restaurants,US,Consumer Discretionary,sp500
DTE,DTE Energy,US,Utilities,sp500
DUK,Duke Energy,US,Utilities,sp500
DVA,DaVita,US,Health Care,sp500
DVN,Devon Energy,US,Energy,sp500
DXCM,Dexcom,US,Health Care,nasdaq100;sp500
EA,Electronic Arts,US,Communication Services,nasdaq100;sp500
EBAY,eBay Inc.,US,Consumer Discretionary,sp500
ECL,Ecolab,US,Materials,sp500
ED,Consolidated Edison,US,Utilities,sp500
EFX,Equifax,US,Industrials,sp500
EG,Everest Group,US,Financials,sp500
EIX,Edison International,US,Utilities,sp500
EL,Estée Lauder Companies (The),US,Consumer Staples,sp500
ELV,Elevance Health,US,Health Care,sp500
EME,Emcor,US,Industrials,sp500
EMR,Emerson Electric,US,Industrials,sp500
EOG,EOG Resources,US,Energy,sp500
EQIX,Equinix,US,Real Estate,sp500
EQR,Equity Residential,US,Real Estate,sp500
EQT,EQT Corporation,US,Energy,sp500
ERIE,Erie Indemnity,US,Financials,sp500
ES,Eversource Energy,US,Utilities,sp500
ESS,Essex Property Trust,US,Real Estate,sp500
ETN,Eaton Corporation,US,Industrials,sp500
ETR,Entergy,US,Utilities,sp500
EVRG,Evergy,US,Utilities,sp500
EW,Edwards Lifesciences,US,Health Care,sp500
EXC,Exelon,US,Utilities,nasdaq100;sp500
EXE,Expand Energy,US,Energy,sp500
EXPD,Expeditors International,US,Industrials,sp500
EXPE,Expedia Group,US,Consumer Discretionary,sp500
EXR,Extra Space Storage,US,Real Estate,sp500
F,Ford Motor Company,US,Consumer Discretionary,sp500
FANG,Diamondback Energy,US,Energy,nasdaq100;sp500
FAST,Fastenal,US,Industrials,nasdaq100;sp500
FCX,Freeport-McMoRan,US,Materials,sp500
FDS,FactSet,US,Financials,sp500
FDX,FedEx,US,Industrials,sp500
FDXF,FedEx Freight,US,Industrials,sp500
FE,FirstEnergy,US,Utilities,sp500
FER,Ferrovial,US,,nasdaq100
FFIV,"F5, Inc.",US,Information Technology,sp500
FICO,Fair Isaac,US,Information Technology,sp500
FIS,Fidelity National Information Services,US,Financials,sp500
FISV,Fiserv,US,Financials,sp500
FITB,Fifth Third Bancorp,US,Financials,sp500
FIX,Comfort Systems USA,US,Industrials,sp500
FOX,Fox Corporation (Class B),US,Communication Services,sp500
FOXA,Fox Corporation (Class A),US,Communication Services,sp500
FRT,Federal Realty Investment Trust,US,Real Estate,sp500
FSLR,First Solar,US,Information Technology,sp500
FTNT,Fortinet,US,Information Technology,nasdaq100;sp500
FTV,Fortive,US,Industrials,sp500
GD,General Dynamics,US,Industrials,sp500
GDDY,GoDaddy,US,Information Technology,sp500
GE,GE Aerospace,US,Industrials,sp500
GEHC,GE HealthCare,US,Health Care,nasdaq100;sp500
GEN,Gen Digital,US,Information Technology,sp500
GEV,GE Vernova,US,Industrials,sp500
GILD,Gilead Sciences,US,Health Care,nasdaq100;sp500
GIS,General Mills,US,Consumer Staples,sp500
GL,Globe Life,US,Financials,sp500
GLW,Corning Inc.,US,Information Technology,sp500
GM,General Motors,US,Consumer Discretionary,sp500
GNRC,Generac,US,Industrials,sp500
GOOG,Alphabet Inc. (Class C),US,Communication Services,nasdaq100;sp500
GOOGL,Alphabet,US,Internet,custom;nasdaq100;sp500
GPC,Genuine Parts Company,US,Consumer Discretionary,sp500
GPN,Global Payments,US,Financials,sp500
GRMN,Garmin,US,Consumer Discretionary,sp500
GS,Goldman Sachs,US,Financials,sp500
GWW,W. W. Grainger,US,Industrials,sp500
HAL,Halliburton,US,Energy,sp500
HAS,Hasbro,US,Consumer Discretionary,sp500
HBAN,Huntington Bancshares,US,Financials,sp500
HCA,HCA Healthcare,US,Health Care,sp500
HD,Home Depot (The),US,Consumer Discretionary,sp500
HIG,Hartford (The),US,Financials,sp500
HII,Huntington Ingalls Industries,US,Industrials,sp500
HLT,Hilton Worldwide,US,Consumer Discretionary,sp500
HON,Honeywell,US,Industrials,nasdaq100;sp500
HOOD,Robinhood Markets,US,Financials,sp500
HPE,Hewlett Packard Enterprise,US,Information Technology,sp500
HPQ,HP Inc.,US,Information Technology,sp500
HRL,Hormel Foods,US,Consumer Staples,sp500
HSIC,Henry Schein,US,Health Care,sp500
HST,Host Hotels & Resorts,US,Real Estate,sp500
HSY,Hershey Company (The),US,Consumer Staples,sp500
HUBB,Hubbell Incorporated,US,Industrials,sp500
HUM,Humana,US,Health Care,sp500
HWM,Howmet Aerospace,US,Industrials,sp500
IBKR,Interactive Brokers,US,Financials,sp500
IBM,IBM,US,Information Technology,sp500
ICE,Intercontinental Exchange,US,Financials,sp500
IDXX,Idexx Laboratories,US,Health Care,nasdaq100;sp500
IEX,IDEX Corporation,US,Industrials,sp500
IFF,International Flavors & Fragrances,US,Materials,sp500
INCY,Incyte,US,Health Care,sp500
INSM,Insmed Incorporated,US,,nasdaq100
INTC,Intel,US,Information Technology,nasdaq100;sp500
INTU,Intuit,US,Information Technology,nasdaq100;sp500
INVH,Invitation Homes,US,Real Estate,sp500
IP,International Paper,US,Materials,sp500
IQV,IQVIA,US,Health Care,sp500
IR,Ingersoll Rand,US,Industrials,sp500
IRM,Iron Mountain,US,Real Estate,sp500
ISRG,Intuitive Surgical,US,Health Care,nasdaq100;sp500
IT,Gartner,US,Information Technology,sp500
ITW,Illinois Tool Works,US,Industrials,sp500
IVZ,Invesco,US,Financials,sp500
J,Jacobs Solutions,US,Industrials,sp500
JBHT,J.B. Hunt,US,Industrials,sp500
JBL,Jabil,US,Information Technology,sp500
JCI,Johnson Controls,US,Industrials,sp500
JKHY,Jack Henry & Associates,US,Financials,sp500
JNJ,Johnson & Johnson,US,Health Care,sp500
JOBY,Joby Aviation,US,eVTOL,custom
JPM,JPMorgan Chase,US,Financials,sp500
