ticker,name,market,source,sector
196170.KQ,알테오젠,KOSDAQ,naver_kosdaq,
247540.KQ,에코프로비엠,KOSDAQ,naver_kosdaq,
086520.KQ,에코프로,KOSDAQ,naver_kosdaq,
277810.KQ,레인보우로보틱스,KOSDAQ,naver_kosdaq,
036930.KQ,주성엔지니어링,KOSDAQ,naver_kosdaq,
240810.KQ,원익IPS,KOSDAQ,naver_kosdaq,
950160.KQ,코오롱티슈진,KOSDAQ,naver_kosdaq,
058470.KQ,리노공업,KOSDAQ,naver_kosdaq,
039030.KQ,이오테크닉스,KOSDAQ,naver_kosdaq,
028300.KQ,HLB,KOSDAQ,naver_kosdaq,
000250.KQ,삼천당제약,KOSDAQ,naver_kosdaq,
403870.KQ,HPSP,KOSDAQ,naver_kosdaq,
087010.KQ,펩트론,KOSDAQ,naver_kosdaq,
298380.KQ,에이비엘바이오,KOSDAQ,naver_kosdaq,
440110.KQ,파두,KOSDAQ,naver_kosdaq,
319660.KQ,피에스케이,KOSDAQ,naver_kosdaq,
095340.KQ,ISC,KOSDAQ,naver_kosdaq,
222800.KQ,심텍,KOSDAQ,naver_kosdaq,
108490.KQ,로보티즈,KOSDAQ,naver_kosdaq,
141080.KQ,리가켐바이오,KOSDAQ,naver_kosdaq,
178320.KQ,서진시스템,KOSDAQ,naver_kosdaq,
084370.KQ,유진테크,KOSDAQ,naver_kosdaq,
319400.KQ,현대무벡스,KOSDAQ,naver_kosdaq,
214370.KQ,케어젠,KOSDAQ,naver_kosdaq,
347850.KQ,디앤디파마텍,KOSDAQ,naver_kosdaq,
310210.KQ,보로노이,KOSDAQ,naver_kosdaq,
080220.KQ,제주반도체,KOSDAQ,naver_kosdaq,
095610.KQ,테스,KOSDAQ,naver_kosdaq,
357780.KQ,솔브레인,KOSDAQ,naver_kosdaq,
131970.KQ,두산테스나,KOSDAQ,naver_kosdaq,
043260.KQ,성호전자,KOSDAQ,naver_kosdaq,
031980.KQ,피에스케이홀딩스,KOSDAQ,naver_kosdaq,
067310.KQ,하나마이크론,KOSDAQ,naver_kosdaq,
064760.KQ,티씨케이,KOSDAQ,naver_kosdaq,
032820.KQ,우리기술,KOSDAQ,naver_kosdaq,
145020.KQ,휴젤,KOSDAQ,naver_kosdaq,
005290.KQ,동진쎄미켐,KOSDAQ,naver_kosdaq,
214450.KQ,파마리서치,KOSDAQ,naver_kosdaq,
131290.KQ,티에스이,KOSDAQ,naver_kosdaq,
010170.KQ,대한광통신,KOSDAQ,naver_kosdaq,
214150.KQ,클래시스,KOSDAQ,naver_kosdaq,
098460.KQ,고영,KOSDAQ,naver_kosdaq,
263750.KQ,펄어비스,KOSDAQ,naver_kosdaq,
237690.KQ,에스티팜,KOSDAQ,naver_kosdaq,
083650.KQ,비에이치아이,KOSDAQ,naver_kosdaq,
089030.KQ,테크윙,KOSDAQ,naver_kosdaq,
089970.KQ,브이엠,KOSDAQ,naver_kosdaq,
030530.KQ,원익홀딩스,KOSDAQ,naver_kosdaq,
140860.KQ,파크시스템스,KOSDAQ,naver_kosdaq,
226950.KQ,올릭스,KOSDAQ,naver_kosdaq,
257720.KQ,실리콘투,KOSDAQ,naver_kosdaq,
082920.KQ,비츠로셀,KOSDAQ,naver_kosdaq,
058610.KQ,에스피지,KOSDAQ,naver_kosdaq,
290650.KQ,엘앤씨바이오,KOSDAQ,naver_kosdaq,
007390.KQ,네이처셀,KOSDAQ,naver_kosdaq,
100790.KQ,미래에셋벤처투자,KOSDAQ,naver_kosdaq,
218410.KQ,RFHIC,KOSDAQ,naver_kosdaq,
035900.KQ,JYP Ent.,KOSDAQ,naver_kosdaq,
140410.KQ,메지온,KOSDAQ,naver_kosdaq,
041510.KQ,에스엠,KOSDAQ,naver_kosdaq,
068760.KQ,셀트리온제약,KOSDAQ,naver_kosdaq,
347700.KQ,스피어,KOSDAQ,naver_kosdaq,
078600.KQ,대주전자재료,KOSDAQ,naver_kosdaq,
420770.KQ,기가비스,KOSDAQ,naver_kosdaq,
437730.KQ,삼현,KOSDAQ,naver_kosdaq,
323280.KQ,태성,KOSDAQ,naver_kosdaq,
060370.KQ,LS마린솔루션,KOSDAQ,naver_kosdaq,
031330.KQ,에스에이엠티,KOSDAQ,naver_kosdaq,
039200.KQ,오스코텍,KOSDAQ,naver_kosdaq,
096530.KQ,씨젠,KOSDAQ,naver_kosdaq,
475830.KQ,오름테라퓨틱,KOSDAQ,naver_kosdaq,
166090.KQ,하나머티리얼즈,KOSDAQ,naver_kosdaq,
090710.KQ,휴림로봇,KOSDAQ,naver_kosdaq,
101490.KQ,에스앤에스텍,KOSDAQ,naver_kosdaq,
232140.KQ,와이씨,KOSDAQ,naver_kosdaq,
183300.KQ,코미코,KOSDAQ,naver_kosdaq,
099320.KQ,쎄트렉아이,KOSDAQ,naver_kosdaq,
476830.KQ,알지노믹스,KOSDAQ,naver_kosdaq,
038500.KQ,삼표시멘트,KOSDAQ,naver_kosdaq,
295310.KQ,에이치브이엠,KOSDAQ,naver_kosdaq,
083450.KQ,GST,KOSDAQ,naver_kosdaq,
036540.KQ,SFA반도체,KOSDAQ,naver_kosdaq,
445680.KQ,큐리옥스바이오시스템즈,KOSDAQ,naver_kosdaq,
195940.KQ,HK이노엔,KOSDAQ,naver_kosdaq,
032500.KQ,케이엠더블유,KOSDAQ,naver_kosdaq,
003380.KQ,하림지주,KOSDAQ,naver_kosdaq,
388210.KQ,씨엠티엑스,KOSDAQ,naver_kosdaq,
127120.KQ,제이에스링크,KOSDAQ,naver_kosdaq,
065350.KQ,신성델타테크,KOSDAQ,naver_kosdaq,
189300.KQ,인텔리안테크,KOSDAQ,naver_kosdaq,
417200.KQ,LS머트리얼즈,KOSDAQ,naver_kosdaq,
