ticker,name,market,source,sector
005930.KS,삼성전자,KOSPI,naver_kospi,
000660.KS,SK하이닉스,KOSPI,naver_kospi,
402340.KS,SK스퀘어,KOSPI,naver_kospi,
009150.KS,삼성전기,KOSPI,naver_kospi,
005380.KS,현대차,KOSPI,naver_kospi,
373220.KS,LG에너지솔루션,KOSPI,naver_kospi,
032830.KS,삼성생명,KOSPI,naver_kospi,
028260.KS,삼성물산,KOSPI,naver_kospi,
329180.KS,HD현대중공업,KOSPI,naver_kospi,
000270.KS,기아,KOSPI,naver_kospi,
207940.KS,삼성바이오로직스,KOSPI,naver_kospi,
034020.KS,두산에너빌리티,KOSPI,naver_kospi,
105560.KS,KB금융,KOSPI,naver_kospi,
012450.KS,한화에어로스페이스,KOSPI,naver_kospi,
012330.KS,현대모비스,KOSPI,naver_kospi,
055550.KS,신한지주,KOSPI,naver_kospi,
006400.KS,삼성SDI,KOSPI,naver_kospi,
034730.KS,SK,KOSPI,naver_kospi,
267260.KS,HD현대일렉트릭,KOSPI,naver_kospi,
035420.KS,NAVER,KOSPI,naver_kospi,
068270.KS,셀트리온,KOSPI,naver_kospi,
066570.KS,LG전자,KOSPI,naver_kospi,
042660.KS,한화오션,KOSPI,naver_kospi,
042700.KS,한미반도체,KOSPI,naver_kospi,
010120.KS,LS ELECTRIC,KOSPI,naver_kospi,
086790.KS,하나금융지주,KOSPI,naver_kospi,
298040.KS,효성중공업,KOSPI,naver_kospi,
000150.KS,두산,KOSPI,naver_kospi,
005490.KS,POSCO홀딩스,KOSPI,naver_kospi,
006800.KS,미래에셋증권,KOSPI,naver_kospi,
000810.KS,삼성화재,KOSPI,naver_kospi,
009540.KS,HD한국조선해양,KOSPI,naver_kospi,
010130.KS,고려아연,KOSPI,naver_kospi,
011070.KS,LG이노텍,KOSPI,naver_kospi,
051910.KS,LG화학,KOSPI,naver_kospi,
015760.KS,한국전력,KOSPI,naver_kospi,
010140.KS,삼성중공업,KOSPI,naver_kospi,
316140.KS,우리금융지주,KOSPI,naver_kospi,
064350.KS,현대로템,KOSPI,naver_kospi,
017670.KS,SK텔레콤,KOSPI,naver_kospi,
033780.KS,KT&G,KOSPI,naver_kospi,
267250.KS,HD현대,KOSPI,naver_kospi,
011200.KS,HMM,KOSPI,naver_kospi,
307950.KS,현대오토에버,KOSPI,naver_kospi,
018260.KS,삼성에스디에스,KOSPI,naver_kospi,
035720.KS,카카오,KOSPI,naver_kospi,
272210.KS,한화시스템,KOSPI,naver_kospi,
096770.KS,SK이노베이션,KOSPI,naver_kospi,
003670.KS,포스코퓨처엠,KOSPI,naver_kospi,
000720.KS,현대건설,KOSPI,naver_kospi,
024110.KS,기업은행,KOSPI,naver_kospi,
079550.KS,LIG디펜스앤에어로스페이스,KOSPI,naver_kospi,
003550.KS,LG,KOSPI,naver_kospi,
086280.KS,현대글로비스,KOSPI,naver_kospi,
278470.KS,에이피알,KOSPI,naver_kospi,
030200.KS,KT,KOSPI,naver_kospi,
047810.KS,한국항공우주,KOSPI,naver_kospi,
071050.KS,한국금융지주,KOSPI,naver_kospi,
010950.KS,S-Oil,KOSPI,naver_kospi,
006260.KS,LS,KOSPI,naver_kospi,
323410.KS,카카오뱅크,KOSPI,naver_kospi,
005940.KS,NH투자증권,KOSPI,naver_kospi,
443060.KS,HD현대마린솔루션,KOSPI,naver_kospi,
259960.KS,크래프톤,KOSPI,naver_kospi,
016360.KS,삼성증권,KOSPI,naver_kospi,
047050.KS,포스코인터내셔널,KOSPI,naver_kospi,
003490.KS,대한항공,KOSPI,naver_kospi,
005830.KS,DB손해보험,KOSPI,naver_kospi,
352820.KS,하이브,KOSPI,naver_kospi,
039490.KS,키움증권,KOSPI,naver_kospi,
028050.KS,삼성E&A,KOSPI,naver_kospi,
064400.KS,LG씨엔에스,KOSPI,naver_kospi,
007660.KS,이수페타시스,KOSPI,naver_kospi,
047040.KS,대우건설,KOSPI,naver_kospi,
161390.KS,한국타이어앤테크놀로지,KOSPI,naver_kospi,
003230.KS,삼양식품,KOSPI,naver_kospi,
000880.KS,한화,KOSPI,naver_kospi,
353200.KS,대덕전자,KOSPI,naver_kospi,
180640.KS,한진칼,KOSPI,naver_kospi,
000990.KS,DB하이텍,KOSPI,naver_kospi,
001440.KS,대한전선,KOSPI,naver_kospi,
454910.KS,두산로보틱스,KOSPI,naver_kospi,
062040.KS,산일전기,KOSPI,naver_kospi,
011790.KS,SKC,KOSPI,naver_kospi,
034220.KS,LG디스플레이,KOSPI,naver_kospi,
326030.KS,SK바이오팜,KOSPI,naver_kospi,
267270.KS,HD건설기계,KOSPI,naver_kospi,
032640.KS,LG유플러스,KOSPI,naver_kospi,
078930.KS,GS,KOSPI,naver_kospi,
004170.KS,신세계,KOSPI,naver_kospi,
090430.KS,아모레퍼시픽,KOSPI,naver_kospi,
009830.KS,한화솔루션,KOSPI,naver_kospi,
021240.KS,코웨이,KOSPI,naver_kospi,
241560.KS,두산밥캣,KOSPI,naver_kospi,
000100.KS,유한양행,KOSPI,naver_kospi,
377300.KS,카카오페이,KOSPI,naver_kospi,
029780.KS,삼성카드,KOSPI,naver_kospi,
052690.KS,한전기술,KOSPI,naver_kospi,
036570.KS,NC,KOSPI,naver_kospi,
