ticker,name,market,sector,source
000020.KS,동화약품,KOSPI,,naver_kospi
000040.KS,KR모터스,KOSPI,,naver_kospi
000050.KS,경방,KOSPI,,naver_kospi
000070.KS,삼양홀딩스,KOSPI,,naver_kospi
000080.KS,하이트진로,KOSPI,,naver_kospi
000100.KS,유한양행,KOSPI,,naver_kospi
000120.KS,CJ대한통운,KOSPI,,naver_kospi
000140.KS,하이트진로홀딩스,KOSPI,,naver_kospi
000150.KS,두산,KOSPI,,naver_kospi
000180.KS,성창기업지주,KOSPI,,naver_kospi
000210.KS,DL,KOSPI,,naver_kospi
000220.KS,유유제약,KOSPI,,naver_kospi
000230.KS,일동홀딩스,KOSPI,,naver_kospi
000240.KS,한국앤컴퍼니,KOSPI,,naver_kospi
000250.KQ,삼천당제약,KOSDAQ,,naver_kosdaq
000270.KS,기아,KOSPI,자동차,custom_kr;naver_kospi
000300.KS,DH오토넥스,KOSPI,,naver_kospi
000320.KS,노루홀딩스,KOSPI,,naver_kospi
000370.KS,한화손해보험,KOSPI,,naver_kospi
000390.KS,SP삼화,KOSPI,,naver_kospi
000400.KS,롯데손해보험,KOSPI,,naver_kospi
000430.KS,대원강업,KOSPI,,naver_kospi
000440.KQ,중앙에너비스,KOSDAQ,,naver_kosdaq
000480.KS,CR홀딩스,KOSPI,,naver_kospi
000490.KS,대동,KOSPI,,naver_kospi
000500.KS,가온전선,KOSPI,,naver_kospi
000520.KS,삼일제약,KOSPI,,naver_kospi
000540.KS,흥국화재,KOSPI,,naver_kospi
000590.KS,CS홀딩스,KOSPI,,naver_kospi
000640.KS,동아쏘시오홀딩스,KOSPI,,naver_kospi
000650.KS,천일고속,KOSPI,,naver_kospi
000660.KS,SK하이닉스,KOSPI,반도체,custom_kr;naver_kospi
000670.KS,영풍,KOSPI,,naver_kospi
000680.KS,LS네트웍스,KOSPI,,naver_kospi
000700.KS,유수홀딩스,KOSPI,,naver_kospi
000720.KS,현대건설,KOSPI,,naver_kospi
000760.KS,이화산업,KOSPI,,naver_kospi
000810.KS,삼성화재,KOSPI,,naver_kospi
000850.KS,화천기공,KOSPI,,naver_kospi
000860.KS,강남제비스코,KOSPI,,naver_kospi
000880.KS,한화,KOSPI,,naver_kospi
