date,equity,benchmark_equity
2026-04-15,100000.0,
2026-04-15,99548.75,
2026-04-16,104526.84,
2026-04-17,101769.64,
2026-04-20,100707.36,
2026-04-21,101066.02,
2026-04-22,101066.02,
2026-04-23,100878.57,
2026-04-24,102197.88,
2026-04-27,101273.69,
2026-04-28,99917.26,
2026-04-29,100310.92,
2026-04-30,102028.66,
2026-05-01,101743.64,
2026-05-04,103268.11,
2026-05-05,103424.78,
2026-05-06,99389.7,
2026-05-07,99132.02,
2026-05-08,99224.22,
2026-05-11,99270.32,
2026-05-12,99431.67,
2026-05-13,99401.84,
2026-05-14,99401.84,
2026-05-15,99401.84,
2026-05-18,99401.84,
2026-05-19,99442.38,
2026-05-20,98153.03,
2026-05-21,97358.33,
2026-05-22,97731.35,
2026-05-26,96624.15,
2026-05-27,96624.15,
2026-05-28,96624.15,
2026-05-29,96624.15,
2026-06-01,96624.15,
2026-06-02,96624.15,
2026-06-03,96624.15,
2026-06-04,96624.15,
2026-06-05,96624.15,
2026-06-08,96624.15,
2026-06-09,96536.51,
2026-06-10,95520.54,
2026-06-11,96231.82,
2026-06-12,96381.84,
2026-06-15,96847.73,
2026-06-16,96956.54,
2026-06-17,96890.32,
2026-06-18,96912.39,
2026-06-22,97823.86,
2026-06-23,96212.05,
2026-06-24,96139.64,
2026-06-25,97607.43,
2026-06-26,95292.82,
