ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,exit_reason,r_multiple,final_score,vcp_score,rs_rank,regime_state,position_size,pnl,sample
ALB,2026-04-14,2026-04-15,2026-04-21,189.36660918595834,197.91477966308594,171.8441940554045,224.41143944706604,time,0.4706,67,70.15,100.0,neutral,176.02540108113752,1451.36,IS
AMAT,2026-04-14,2026-04-15,2026-04-21,388.72672933358473,393.8403625488281,355.5108828766875,455.1584222473792,time,0.1352,61,74.08,97.5,neutral,85.75004191370753,385.16,IS
AEP,2026-04-14,2026-04-15,2026-04-21,133.8181456721871,130.93905639648438,129.29527642823248,142.8638841600963,time,-0.6839,56,75.46,85.0,neutral,249.09427018208459,-770.5,IS
AMAT,2026-04-22,2026-04-23,2026-04-28,405.6657120343601,380.24588737986096,380.24588737986096,456.5053613433584,stop,-1.0255,54,78.97,95.0,neutral,83.04540886676679,-2164.9,IS
AEP,2026-04-23,2026-04-24,2026-04-30,132.8551481674691,136.12142944335938,128.0301824450193,142.50507961236875,time,0.6329,58,72.7,75.0,neutral,254.89175686155878,778.37,IS
ADM,2026-04-27,2026-04-28,2026-05-04,71.11115563288863,75.77043151855469,67.1884480439439,78.95657081077808,time,1.1588,58,72.28,92.5,neutral,468.83463013053415,2131.09,IS
APA,2026-04-29,2026-04-30,2026-05-06,39.52000045776367,38.29999923706055,36.46225972975069,45.63548191378963,time,-0.4197,59,73.34,97.5,neutral,802.076627144962,-1029.25,OOS
AES,2026-05-05,2026-05-06,2026-05-06,14.430000305175781,14.315312302113291,14.315312302113291,14.659376311300763,stop,-1.2013,56,90.41,82.5,neutral,2348.441866456344,-323.56,OOS
AEP,2026-04-30,2026-05-01,2026-05-07,135.88314674256821,131.2510654046544,131.2510654046544,145.14730941839582,stop,-1.0469,74,83.14,80.0,neutral,249.6125331981291,-1210.49,OOS
AES,2026-05-06,2026-05-07,2026-05-13,14.34000015258789,14.430000305175781,14.213761924769317,14.592476608225036,time,0.5312,66,83.63,82.5,neutral,2305.0141098822824,154.57,OOS
APA,2026-05-18,2026-05-19,2026-05-26,40.86000061035156,37.5,37.38428660801479,47.811428615025115,time,-0.9855,59,70.57,95.0,neutral,810.9139772090649,-2777.69,OOS
AES,2026-06-08,2026-06-09,2026-06-15,14.699999809265137,14.680000305175781,14.57142870766776,14.957142012459892,time,-0.3385,61,81.09,75.0,neutral,2191.023861530565,-95.35,OOS
AME,2026-06-09,2026-06-10,2026-06-16,228.1878776931585,231.89999389648438,219.55794929136297,245.44773449674952,time,0.3878,54,70.82,70.0,neutral,140.98703869885213,471.89,OOS
AES,2026-06-15,2026-06-16,2026-06-23,14.65999984741211,14.699999809265137,14.554285730634417,14.871428080967494,time,0.1565,62,76.37,77.5,neutral,2207.343063468957,36.52,OOS
ANET,2026-06-18,2026-06-22,2026-06-26,170.11000061035156,157.60000610351562,152.1990007672991,205.93200029645647,time,-0.7136,64,75.91,80.0,neutral,189.9446721455846,-2427.91,OOS
AMD,2026-06-22,2026-06-23,2026-06-26,509.0799865722656,521.5800170898438,435.7842668805804,655.6714259556361,time,0.1594,64,74.52,100.0,neutral,62.88829839738789,734.88,OOS
AES,2026-06-23,2026-06-24,2026-06-26,14.670000076293945,14.670000076293945,14.550000054495674,14.910000119890485,time,-0.1956,63,72.51,77.5,neutral,2188.066172358392,-51.36,OOS
