date,equity,benchmark_equity
2025-05-13,100000.0,100000.0
2025-05-13,101206.06,100000.0
2025-05-14,101437.95,100127.80826440004
2025-05-15,102129.77,100616.86102987008
2025-05-16,102959.1,101254.1726476814
2025-05-19,103550.59,101364.93699763432
2025-05-20,103232.02,101024.12199055201
2025-05-21,101616.13,99321.77665932948
2025-05-22,101562.8,99360.99031893004
2025-05-23,101676.56,98682.77752523628
2025-05-27,103163.08,100734.43872681116
2025-05-28,102744.99,100151.66552583534
2025-05-29,102884.72,100546.99785579961
2025-05-30,103656.61,100434.54598956482
2025-06-02,103958.95,101000.28582307024
2025-06-03,104079.6,101576.23513008114
2025-06-04,104139.55,101548.97119515177
2025-06-05,103313.69,101058.19927246954
2025-06-06,103894.22,102095.96905095139
2025-06-09,103628.13,102187.9914231985
2025-06-10,103636.22,102767.368497657
2025-06-11,103920.1,102474.26801344528
2025-06-12,103911.22,102881.52897412721
2025-06-13,102274.62,101731.31787638731
2025-06-16,103142.42,102699.19283986841
2025-06-17,102391.67,101821.63163839902
2025-06-18,103027.17,101806.27524023375
2025-06-20,103193.66,101567.18582401947
2025-06-23,104371.59,102570.41425360627
2025-06-24,106049.48,103703.5287020152
2025-06-25,105767.4,103761.64254397298
2025-06-26,106600.15,104573.45389230903
2025-06-27,106044.95,105093.00851457435
2025-06-30,108201.11,105595.46648750869
2025-07-01,106508.38,105561.30482977706
2025-07-02,106997.74,106039.85280639231
2025-07-03,107185.83,106875.595245001
2025-07-07,107371.59,106079.14029483018
2025-07-08,106891.13,106021.04754682592
2025-07-09,107359.7,106656.81930603001
2025-07-10,106669.92,106957.61908327788
2025-07-11,105609.75,106581.62990869481
2025-07-14,105858.14,106784.99671461675
2025-07-15,106103.09,106328.67121803871
2025-07-16,106491.7,106684.15706979673
2025-07-17,107305.51,107337.02547833177
2025-07-18,107298.59,107258.41886052572
2025-07-21,107388.51,107461.7962134244
2025-07-22,105788.59,107477.18425251993
2025-07-23,107734.08,108391.53330893465
2025-07-24,107355.86,108427.42467085522
2025-07-25,108579.45,108885.45877766867
2025-07-28,108575.54,108858.12101390198
2025-07-29,108516.54,108571.00066551424
2025-07-30,108473.34,108434.2591117969
2025-07-31,108781.47,108027.50440599956
2025-08-01,106202.55,106256.87794722083
2025-08-04,108612.81,107871.97868666936
2025-08-05,108686.59,107325.06520668384
2025-08-06,109996.51,108147.14931038591
2025-08-07,111066.75,108056.56132697842
2025-08-08,112236.23,108899.12765955203
2025-08-11,111887.69,108683.79003500541
2025-08-12,112898.99,109840.83557368699
2025-08-13,111587.45,110216.84584222356
2025-08-14,110954.84,110227.0869566593
2025-08-15,110166.75,109969.0129822737
2025-08-18,110451.35,109945.09243897784
2025-08-19,109190.3,109348.60816821162
2025-08-20,108468.94,109058.07059935304
2025-08-21,108267.51,108620.56090931816
2025-08-22,108348.92,110288.61801908791
2025-08-25,108631.51,109803.235601531
2025-08-26,108303.54,110262.97831857987
2025-08-27,108650.6,110514.2178520238
2025-08-28,109661.61,110905.58451872563
2025-08-29,108322.76,110244.18360599027
2025-09-02,108536.57,109427.24642694794
2025-09-03,109724.21,110020.29238328978
2025-09-04,112145.05,110939.77781738753
2025-09-05,110987.31,110618.46417033789
2025-09-08,110955.95,110890.21757358362
2025-09-09,112415.96,111146.57239075705
2025-09-10,112628.72,111467.87549082993
2025-09-11,112542.22,112394.2059128461
2025-09-12,112283.02,112356.5848467366
2025-09-15,112642.25,112954.77772773823
2025-09-16,113441.63,112799.25200840806
2025-09-17,113504.29,112659.10378119664
2025-09-18,114613.51,113185.49284440362
2025-09-19,115509.62,113746.09630022603
2025-09-22,115199.61,114284.22414856893
2025-09-23,115652.97,113662.13181822495
2025-09-24,115320.24,113300.48653203802
2025-09-25,115282.76,112777.7889106977
2025-09-26,115183.21,113423.89670712838
2025-09-29,115172.56,113742.6685327784
2025-09-30,115479.08,114171.1183697749
2025-10-01,115735.91,114560.16470158912
2025-10-02,116250.54,114692.10738087981
2025-10-03,115143.09,114690.40931762116
2025-10-06,115536.09,115101.72031737962
2025-10-07,114575.46,114674.97909061857
2025-10-08,116220.61,115358.79232897286
2025-10-09,116470.07,115024.60082329699
2025-10-10,113846.32,111915.7317650682
