date,equity,benchmark_equity
2025-05-13,100000.0,100000.0
2025-05-13,101206.06,100000.0
2025-05-14,101437.95,100127.80826440004
2025-05-15,102129.77,100616.86102987008
2025-05-16,102959.1,101254.18319465818
2025-05-19,103550.59,101364.92645065756
2025-05-20,103232.02,101024.11144357525
2025-05-21,101616.13,99321.79775328301
2025-05-22,101562.8,99360.99031893004
2025-05-23,101676.56,98682.76697825952
2025-05-27,103163.09,100734.44927378792
2025-05-28,102744.99,100151.65497885858
2025-05-29,102884.73,100546.99785579961
2025-05-30,103656.61,100434.52489561129
2025-06-02,103911.46,101000.28582307024
2025-06-03,103943.39,101576.23513008114
2025-06-04,104251.43,101548.96064817501
2025-06-05,104265.4,101058.2098194463
2025-06-06,104932.55,102095.96905095139
2025-06-09,104668.39,102187.98087622174
2025-06-10,104688.99,102767.368497657
2025-06-11,104688.99,102474.26801344528
2025-06-12,104688.99,102881.53952110397
2025-06-13,104688.99,101731.30732941056
2025-06-16,104688.99,102699.20338684517
2025-06-17,104688.99,101821.62109142226
2025-06-18,104688.99,101806.28578721051
2025-06-20,104688.99,101567.18582401947
2025-06-23,104688.99,102570.41425360627
2025-06-24,104688.99,103703.5287020152
2025-06-25,104688.99,103761.64254397298
2025-06-26,104688.99,104573.45389230903
2025-06-27,104688.99,105093.00851457435
2025-06-30,104688.99,105595.48758146222
2025-07-01,104688.99,105561.30482977706
2025-07-02,104688.99,106039.85280639231
2025-07-03,104688.99,106875.58469802423
2025-07-07,104688.99,106079.15084180694
2025-07-08,104688.99,106021.04754682592
2025-07-09,104688.99,106656.81930603001
2025-07-10,104688.99,106957.61908327788
2025-07-11,104688.99,106581.61936171805
2025-07-14,104688.99,106785.0072615935
2025-07-15,104688.99,106328.68176501547
2025-07-16,104688.99,106684.16761677348
2025-07-17,104688.99,107337.02547833177
2025-07-18,104688.99,107258.41886052572
2025-07-21,104688.99,107461.7962134244
2025-07-22,104688.99,107477.18425251993
2025-07-23,104688.99,108391.54385591143
2025-07-24,104688.99,108427.41412387847
2025-07-25,104688.99,108885.45877766867
2025-07-28,104688.99,108858.11046692522
2025-07-29,104688.99,108571.00066551424
2025-07-30,104688.99,108434.2591117969
2025-07-31,104688.99,108027.49385902277
2025-08-01,104688.99,106256.88849419758
2025-08-04,105809.47,107871.9681396926
2025-08-05,106120.12,107325.06520668384
2025-08-06,107172.42,108147.13876340915
2025-08-07,108403.42,108056.55078000166
2025-08-08,108547.24,108899.12765955203
2025-08-11,108666.56,108683.79003500541
2025-08-12,108888.24,109840.83557368699
2025-08-13,108059.32,110216.84584222356
2025-08-14,108125.04,110227.0869566593
2025-08-15,108161.29,109969.02352925047
2025-08-18,108161.29,109945.08189200108
2025-08-19,108161.29,109348.6187151884
2025-08-20,108161.29,109058.06005237628
2025-08-21,108161.29,108620.56090931816
2025-08-22,108141.84,110288.61801908791
2025-08-25,108475.83,109803.235601531
2025-08-26,108562.3,110262.97831857987
2025-08-27,108701.75,110514.2178520238
2025-08-28,109060.15,110905.5950657024
2025-08-29,108712.91,110244.17305901351
2025-09-02,108929.06,109427.24642694794
2025-09-03,109093.68,110020.29238328978
2025-09-04,109755.5,110939.77781738753
2025-09-05,109059.84,110618.45362336113
2025-09-08,109012.22,110890.21757358362
2025-09-09,109404.53,111146.57239075705
2025-09-10,109606.86,111467.87549082993
2025-09-11,109849.94,112394.2059128461
2025-09-12,109954.28,112356.5848467366
2025-09-15,110188.84,112954.77772773823
2025-09-16,110475.95,112799.2414614313
2025-09-17,110475.95,112659.10378119664
2025-09-18,110475.95,113185.51393835714
2025-09-19,110475.95,113746.09630022603
2025-09-22,110475.95,114284.22414856893
2025-09-23,110475.95,113662.13181822495
2025-09-24,110475.95,113300.48653203802
2025-09-25,110475.95,112777.7889106977
2025-09-26,110475.95,113423.89670712838
2025-09-29,110475.95,113742.6685327784
2025-09-30,110475.95,114171.1183697749
2025-10-01,110475.95,114560.16470158912
2025-10-02,110475.95,114692.10738087981
2025-10-03,110475.95,114690.40931762116
2025-10-06,110475.95,115101.72031737962
2025-10-07,110475.95,114674.97909061857
2025-10-08,110475.95,115358.79232897286
2025-10-09,110475.95,115024.60082329699
2025-10-10,110475.95,111915.7317650682
