ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,exit_reason,r_multiple,final_score,vcp_score,rs_rank,regime_state,position_size,pnl,sample
WMT,2025-05-12,2025-05-13,2025-05-15,95.69986869770257,92.17678984336908,92.17678984336908,102.74602640636957,stop,-1.0435,74,96.05,89.9,neutral,104.49335130843357,-384.14,IS
ABT,2025-05-12,2025-05-13,2025-05-27,129.1124595340589,130.2786407470703,123.45376613407427,140.42984633402816,time,0.1696,65,80.01,83.84,neutral,77.45185891499554,74.32,IS
V,2025-05-12,2025-05-13,2025-05-27,352.7338019716863,356.4841613769531,340.2320564265804,377.7372930618982,time,0.2548,59,83.81,85.86,neutral,28.349990684484194,90.32,IS
IBM,2025-05-12,2025-05-13,2025-05-27,248.08479440330663,256.66534423828125,234.62565992739528,275.00306335512937,time,0.608,56,83.65,90.91,neutral,40.30879854628734,329.87,IS
GE,2025-05-12,2025-05-13,2025-05-27,218.84166248492664,237.42332139375847,209.55083303051072,237.42332139375847,target,1.9623,55,86.54,80.81,neutral,45.69513814897462,833.09,IS
GEV,2025-05-12,2025-05-13,2025-05-27,419.77370268944003,470.237060546875,384.4320850170097,490.4569380343007,time,1.4089,54,77.47,96.97,neutral,23.822359371087785,1186.16,IS
MA,2025-05-12,2025-05-13,2025-05-27,574.605856067805,571.1761474609375,553.1497304019773,617.5181073994604,time,-0.2027,54,80.56,79.8,neutral,17.403233702546835,-75.69,IS
PLTR,2025-05-12,2025-05-13,2025-05-27,119.91999816894531,123.38999938964844,105.46428571428571,148.83142307826452,time,0.2268,52,72.01,100.0,neutral,83.38892722389664,273.36,IS
JPM,2025-05-12,2025-05-13,2025-05-27,256.0503155003321,260.22906494140625,244.23160375976863,279.687738981459,time,0.3189,52,88.0,75.76,neutral,39.0548239726228,147.2,IS
BKNG,2025-05-12,2025-05-13,2025-05-27,204.40992462015873,215.86830139160156,193.5468155740914,226.1361427122934,time,1.0247,51,73.39,82.83,neutral,48.92130369199211,544.56,IS
WMT,2025-05-15,2025-05-16,2025-05-30,95.34285165447858,97.9014663696289,91.6161687438818,102.79621747567212,time,0.6456,68,76.64,89.9,neutral,100.85561231621843,242.67,IS
BKNG,2025-05-27,2025-05-28,2025-06-10,215.8682921826208,217.6783905029297,207.45697202573965,232.6909324963831,time,0.1741,68,83.55,80.81,neutral,47.787047784802375,69.99,IS
ABT,2025-05-27,2025-05-28,2025-06-10,130.43545630109605,131.44480895996094,125.72455004453192,139.8572688142243,time,0.17,65,73.19,82.83,neutral,79.0866892046737,63.32,IS
MA,2025-05-27,2025-05-28,2025-06-10,571.2059886171279,586.078125,554.3001394814647,605.0176868884544,time,0.8256,65,80.87,78.79,neutral,18.059524233505662,252.08,IS
V,2025-05-27,2025-05-28,2025-06-10,356.523869510588,367.7948913574219,345.4497240985104,378.67216033474324,time,0.9663,64,71.05,84.85,neutral,28.93413113662009,309.61,IS
KO,2025-05-27,2025-05-28,2025-06-10,69.23306798473453,69.86071014404297,67.22187204718286,73.25545985983787,time,0.257,64,73.77,71.72,neutral,148.9997293782955,77.01,IS
IBM,2025-05-27,2025-05-28,2025-06-10,256.5970384263021,269.3508605957031,246.25287452933537,277.2853662202356,time,1.1933,60,76.54,90.91,neutral,40.20197761057707,496.22,IS
WFC,2025-05-27,2025-05-28,2025-06-10,72.60683679203959,73.83000183105469,69.84244103254655,78.13562831102566,time,0.4004,57,81.1,70.71,neutral,142.07626787682295,157.28,IS
NFLX,2025-05-27,2025-05-28,2025-06-10,121.0270004272461,120.36199951171875,116.20156860351562,130.67786407470703,time,-0.1779,55,88.53,94.95,neutral,85.23476874861278,-73.19,IS
JPM,2025-05-27,2025-05-28,2025-06-10,261.16091702282114,263.4759216308594,251.35308999058037,280.77657108730267,time,0.1934,53,74.32,77.78,neutral,39.499433955706166,74.94,IS
PLTR,2025-08-01,2025-08-04,2025-08-06,158.52999877929688,177.99971226283483,148.7951420375279,177.99971226283483,target,1.9739,66,74.06,100.0,neutral,66.03733932556187,1268.98,IS
WMT,2025-08-01,2025-08-04,2025-08-06,97.38577741796423,102.10913938072045,95.02409643658613,102.10913938072045,target,1.934,52,77.4,71.72,neutral,107.49926324188479,491.01,IS
APP,2025-08-01,2025-08-04,2025-08-07,383.010009765625,447.5531703404018,350.7384294782366,447.5531703404018,target,1.981,63,78.31,97.98,neutral,27.33322643205999,1747.42,IS
