ticker,signal_date,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,exit_reason,r_multiple,final_score,vcp_score,rs_rank,regime_state,position_size,pnl,sample
GEV,2026-04-14,2026-04-15,2026-04-21,984.5969153345445,990.7937622070312,905.6394163090274,1142.5119133855787,time,0.0585,71,73.11,80.0,risk_on,33.854801710411,156.46,IS
TER,2026-04-14,2026-04-15,2026-04-21,362.86295310924174,379.78656005859375,328.92147841052537,430.7459025066745,time,0.4815,68,72.07,94.0,risk_on,91.86204611882262,1501.3,IS
AMAT,2026-04-14,2026-04-15,2026-04-21,388.72672933358473,393.8403625488281,355.5108828766875,455.1584222473792,time,0.1352,68,74.08,87.0,risk_on,85.7500419137075,385.16,IS
VRT,2026-04-22,2026-04-23,2026-04-29,304.1367376128728,306.1163024902344,278.6808935694057,355.04842569980707,time,0.0586,72,77.6,89.0,risk_on,111.83886700396151,166.97,IS
CIEN,2026-04-23,2026-04-24,2026-04-30,514.8200073242188,527.5800170898438,451.51429530552457,641.4314313616071,time,0.1886,70,71.3,98.0,risk_on,67.7933593470855,809.2,IS
AMAT,2026-04-27,2026-04-28,2026-05-04,385.52072274237497,390.89404296875,357.6639349031713,441.23429842078224,time,0.1707,65,71.99,87.0,risk_on,85.92855477796725,408.72,IS
LITE,2026-04-29,2026-04-30,2026-05-06,895.1699829101562,944.280029296875,759.7563999720983,1165.9971487862722,time,0.3521,72,74.95,99.0,risk_on,37.36726629677283,1781.59,OOS
CIEN,2026-04-30,2026-05-01,2026-05-07,527.25,538.760009765625,465.0885750906808,651.5728498186384,time,0.1716,74,79.09,98.0,risk_on,65.73822775212773,701.19,OOS
SATS,2026-05-06,2026-05-07,2026-05-13,127.0199966430664,133.22999572753906,115.51419612339565,150.03159768240792,time,0.5221,71,73.23,96.0,risk_on,282.5038663440243,1696.93,OOS
ASML,2026-05-07,2026-05-08,2026-05-14,1538.530029296875,1584.510009765625,1428.6293614391866,1758.331365012252,time,0.396,73,73.83,84.0,risk_on,22.746128642933595,989.87,OOS
CIEN,2026-05-11,2026-05-12,2026-05-18,567.780029296875,524.530029296875,496.4200221470424,710.5000435965402,time,-0.6188,78,73.04,98.0,risk_on,61.69880705053186,-2724.52,OOS
VRT,2026-05-15,2026-05-18,2026-05-18,370.2179758585786,334.4975540460692,334.4975540460692,441.6588194835974,stop,-1.0166,69,71.49,88.0,risk_on,100.54017699560683,-3650.89,OOS
SATS,2026-05-13,2026-05-14,2026-05-20,133.6750030517578,141.8000030517578,122.54575783865792,155.9334934779576,time,0.7108,84,75.92,96.0,risk_on,271.88531129435023,2150.92,OOS
CIEN,2026-05-21,2026-05-22,2026-05-29,599.0,580.22998046875,526.1371198381696,744.7257603236608,time,-0.2708,66,79.21,97.0,risk_on,58.081748741054895,-1145.86,OOS
C,2026-05-26,2026-05-27,2026-06-02,127.08999633789062,131.25999450683594,120.49571337018695,140.27856227329798,time,0.6015,71,73.82,71.0,risk_on,274.74692177903233,1089.83,OOS
WDC,2026-06-02,2026-06-03,2026-06-05,571.1011119337803,513.8417607412775,513.8417607412775,685.6198143187859,stop,-1.016,65,73.4,98.0,risk_on,60.88639718716372,-3541.95,OOS
STX,2026-06-03,2026-06-04,2026-06-10,890.9147370802443,815.4085693359375,796.7775787438179,1079.1890537530971,time,-0.8172,65,72.63,96.0,risk_on,38.91053407971361,-2993.45,OOS
AMD,2026-06-22,2026-06-23,2026-06-26,509.0799865722656,521.5800170898438,435.7842668805804,655.6714259556361,time,0.1594,71,74.52,89.0,risk_on,64.02495210994635,748.16,OOS
