date,equity,benchmark_equity,open_positions,capital_exposure_pct
2025-02-19,100000.0,100000.0,,
2025-02-19,99251.46,100000.0,3.0,100.0
2025-02-20,96670.15,99583.95525997251,3.0,100.0
2025-02-21,94263.52,97880.67050486179,1.0,35.1716
2025-02-24,92969.54,97435.28375806994,3.0,100.0
2025-02-25,90150.27,96950.71018898906,3.0,100.0
2025-02-26,87685.63,96999.65067110346,2.0,70.6915
2025-02-27,89131.18,95451.36099004002,2.0,71.1668
2025-02-28,90188.49,96940.9261439306,2.0,71.5049
2025-03-03,89719.46,95242.52328293807,2.0,71.3559
2025-03-04,89530.18,94115.13997919827,1.0,32.4843
2025-03-05,89851.99,95126.6846459467,1.0,32.7261
2025-03-06,89599.14,93438.07595842368,1.0,32.5362
2025-03-07,89795.59,93961.78570773843,0.0,0.0
2025-03-10,89795.59,91459.05534133404,0.0,0.0
2025-03-11,89795.59,90698.7661670963,0.0,0.0
2025-03-12,89795.59,91180.06825941331,0.0,0.0
2025-03-13,89795.59,89964.5880365032,0.0,0.0
2025-03-14,89795.59,91822.88812248329,0.0,0.0
2025-03-17,89795.59,92530.95520943175,0.0,0.0
2025-03-18,89795.59,91530.84551874024,0.0,0.0
2025-03-19,89795.59,92527.69386107892,0.0,0.0
2025-03-20,89795.59,92260.13162680411,0.0,0.0
2025-03-21,89795.59,92290.5675019601,0.0,0.0
2025-03-24,89795.59,93943.35199965726,0.0,0.0
2025-03-25,90366.06,94169.17505206256,2.0,66.8771
2025-03-26,89910.84,93044.96194097628,3.0,100.0
2025-03-27,90801.02,92797.85909698937,3.0,100.0
2025-03-28,89275.48,90929.07610558948,2.0,68.255
2025-03-31,90044.81,91539.45466811881,2.0,68.5262
2025-04-01,89911.22,91798.0026165737,2.0,68.4794
2025-04-02,89532.14,92378.92775981729,2.0,68.346
2025-04-03,89012.76,87826.43995366455,2.0,67.8204
2025-04-04,85366.13,82684.80779871445,1.0,34.6339
2025-04-07,84112.96,82537.53057387476,0.0,0.0
2025-04-08,84112.96,81244.76551057269,0.0,0.0
2025-04-09,84112.96,89777.04024939389,0.0,0.0
2025-04-10,84112.96,85843.10463347458,0.0,0.0
2025-04-11,84112.96,87374.7837204429,0.0,0.0
2025-04-14,84112.96,88222.44056825653,0.0,0.0
2025-04-15,84112.96,87975.32759585857,0.0,0.0
2025-04-16,84112.96,86019.82514918897,0.0,0.0
2025-04-17,84112.96,86142.54097727215,0.0,0.0
2025-04-21,84112.96,84092.1251908066,0.0,0.0
2025-04-22,84112.96,86280.0139002313,0.0,0.0
2025-04-23,84112.96,87616.95402825644,0.0,0.0
2025-04-24,84112.96,89461.20600813291,0.0,0.0
2025-04-25,84112.96,90107.59107188671,0.0,0.0
2025-04-28,84112.96,90141.9466421127,0.0,0.0
2025-04-29,84112.96,90709.78587830087,0.0,0.0
2025-04-30,84112.96,90745.79237952533,0.0,0.0
2025-05-01,84112.96,91388.89583810423,0.0,0.0
2025-05-02,84112.96,92745.48508353457,0.0,0.0
2025-05-05,84112.96,92213.65234857089,0.0,0.0
2025-05-06,84112.96,91442.90052573543,0.0,0.0
2025-05-07,84112.96,91827.46616427046,0.0,0.0
2025-05-08,84112.96,92467.29814608552,0.0,0.0
2025-05-09,84112.96,92349.4844689426,0.0,0.0
2025-05-12,84112.96,95401.39753841124,0.0,0.0
2025-05-13,83575.42,96031.41508993473,3.0,100.0
2025-05-14,83669.52,96154.14104642894,3.0,100.0
2025-05-15,83481.56,96623.79546605732,2.0,67.7037
2025-05-16,84315.2,97235.82495958511,3.0,100.0
2025-05-19,85440.55,97342.17327543798,3.0,100.0
2025-05-20,85426.84,97014.89392970904,3.0,100.0
2025-05-21,84380.59,95380.11774682962,3.0,100.0
2025-05-22,84060.54,95417.76505064155,3.0,100.0
2025-05-23,83209.72,94766.45757912543,3.0,100.0
2025-05-27,82893.07,96736.717120671,1.0,31.9654
2025-05-28,83137.6,96177.04138377593,3.0,98.6781
2025-05-29,83052.8,96556.7048713707,3.0,98.6767
2025-05-30,83558.55,96448.70562451935,2.0,66.7046
2025-06-02,83646.24,96991.99359236205,3.0,99.94
2025-06-03,83027.7,97545.09599049631,3.0,99.9396
2025-06-04,83368.38,97518.90391956341,3.0,99.9398
2025-06-05,83463.17,97047.62895416965,3.0,99.9399
2025-06-06,83830.78,98044.20382941041,3.0,99.9402
2025-06-09,83573.27,98132.5640872676,3.0,99.94
2025-06-10,83598.43,98688.95821898778,1.0,33.3671
2025-06-11,83455.34,98407.48967636385,3.0,100.0
2025-06-12,83461.34,98798.58814001556,3.0,100.0
2025-06-13,82058.14,97694.0038895124,1.0,33.4752
2025-06-16,82609.61,98623.49829847759,3.0,100.0
2025-06-17,81509.27,97780.74360160422,3.0,100.0
2025-06-18,81979.25,97766.01689196135,3.0,100.0
2025-06-20,82317.69,97536.40581382948,3.0,100.0
2025-06-23,82496.66,98499.81014293517,3.0,100.0
2025-06-24,83135.27,99587.97623915285,3.0,100.0
2025-06-25,82407.39,99643.78378394802,1.0,32.6955
2025-06-26,82424.0,100423.36758120479,3.0,99.4091
2025-06-27,80192.76,100922.31336554236,2.0,68.215
2025-06-30,81317.25,101404.84099559444,2.0,65.7099
2025-07-01,80607.61,101372.0046870235,3.0,98.7731
2025-07-02,80658.88,101831.56108085136,3.0,98.7738
2025-07-03,81507.42,102634.13637115441,3.0,98.7866
2025-07-07,81917.05,101869.30966877361,3.0,98.7927
2025-07-08,81220.62,101813.5223808005,3.0,98.7823
2025-07-09,80876.48,102424.0427410843,3.0,98.7771
2025-07-10,79280.09,102712.9151521738,2.0,63.6923
2025-07-11,77982.67,102351.82717041466,1.0,32.6969
2025-07-14,78812.12,102547.14344878675,3.0,99.3761
2025-07-15,78232.4,102108.92761700669,3.0,99.3715
2025-07-16,77826.67,102450.31583930546,2.0,66.9364
2025-07-17,78719.77,103077.26448228575,3.0,100.0
2025-07-18,78449.01,103001.78756326332,3.0,100.0
2025-07-21,78931.93,103197.09371322437,3.0,100.0
2025-07-22,77262.22,103211.86093651138,3.0,100.0
2025-07-23,79007.57,104089.92327424789,3.0,100.0
2025-07-24,79566.88,104124.38012858422,3.0,100.0
2025-07-25,80214.16,104564.24689136277,1.0,33.6119
2025-07-28,79821.32,104537.99404996364,3.0,100.0
2025-07-29,79837.32,104262.25818798474,3.0,100.0
2025-07-30,80505.67,104130.95346734504,2.0,66.6022
2025-07-31,80170.26,103740.34116742294,3.0,100.0
2025-08-01,77907.4,102039.99365151198,1.0,34.335
2025-08-04,79359.47,103590.97748991034,3.0,100.0
2025-08-05,79820.0,103065.76873576261,3.0,100.0
2025-08-06,80866.62,103855.22773377715,2.0,63.9675
2025-08-07,83691.57,103768.22468299847,2.0,62.508
2025-08-08,85597.67,104577.38344047336,2.0,63.4957
2025-08-11,85384.26,104370.57141557813,3.0,96.7177
2025-08-12,86856.97,105481.70874802003,3.0,96.7733
2025-08-13,84265.67,105842.78660136812,2.0,66.1095
2025-08-14,83140.63,105852.63141689278,2.0,67.3818
2025-08-15,82693.59,105604.80945572248,3.0,100.0
2025-08-18,83843.32,105581.82809108723,3.0,100.0
2025-08-19,82501.32,105009.0259334926,3.0,100.0
2025-08-20,81328.03,104730.00846633878,2.0,69.0624
2025-08-21,81039.47,104309.85159143165,3.0,100.0
2025-08-22,81026.02,105911.72056686286,2.0,66.0501
2025-08-25,81743.66,105445.59083427419,3.0,99.3733
2025-08-26,81998.28,105887.08827122912,2.0,69.5962
2025-08-27,82828.43,106128.36727887172,2.0,63.5703
2025-08-28,83851.23,106504.20222709578,3.0,97.0203
2025-08-29,82992.86,105869.03944276724,3.0,96.9895
2025-09-02,82880.52,105084.52310933711,3.0,96.9854
2025-09-03,83892.58,105654.03353334582,3.0,97.0218
2025-09-04,86091.07,106537.02840725571,3.0,97.0979
2025-09-05,84979.33,106228.46636511687,2.0,60.9826
