rank,current_price,previous_close,return_1d,return_5d,return_20d,ma20,ma50,ma200,rsi14,macd,macd_signal,macd_hist,macd_hist_prev,atr14,atr_pct,volume,volume_avg20,volume_ratio,cmf20,obv,high20,high60,high252,low20,low60,valid,exclude_reason,stop_loss,target1,target2,expected_return_1,expected_return_2,downside_risk,risk_reward,vcp_score,vcp_contractions,vcp_contraction_depths,vcp_volume_dryup,vcp_atr_compression,pivot_price,dist_to_pivot_pct,vcp_status,weekly_trend_ok,weekly_ma30,weekly_trend_reason,regime_state,regime_score,regime_message,trend_score,volume_score,momentum_score,macd_score,position_score,risk_reward_score,risk_penalty,base_score,final_score,decision,earnings_in_window,next_earnings_date,earnings_unknown,data_quality_flag,data_quality_reasons,zero_volume_ratio,stale_price_ratio,rows_after_quality,risk_reward_status_code,risk_reward_status_label,risk_reward_message,risk_reward_detail,chart_type,rs_rank,expected_r,valid_signal,signal_date,is_sample_data,evidence_points,risk_points,summary,ticker,market_region,universe_mode,name,market,sector,source,ticker_base,industry,sector_source,updated_at,market_regime,market_comment,market_return_5d,market_above_ma20,market_above_ma60,market_above_ma200,prev_close,last_open,last_close,last_day_return,open_gap,intraday_return,distance_from_ma20,distance_from_ma60,chase_risk_warning,score,adjusted_score,chart_type_penalty,quality_penalty,data_source,data_quality,data_warning,passed_liquidity_filter,liquidity_warning,filter_reason,avg_dollar_volume_20d,passed_risk_reward_filter,risk_reward_warning,force_inflow_pct,force_inflow_source,force_inflow_grade,fi_cmf20,fi_obv_slope,fi_vol_asym,fi_accum_bar_ratio,fi_box_breakout,force_position,position_multiplier,price_percentile_252,force_penalty,force_sequence,chart_score,composite_score,composite_source,selection_reason,caution,consecutive_recommendation_days,recommended_count_last_5_sessions,consecutive_recommendation_comment,sector_count_in_top5,sector_concentration_warning
1,1405000.0,1387000.0,1.3,6.28,19.27,1229200.0,1211482.12,1202657.31,61.13,37196.49,14665.2,22531.28,19997.34775738395,90928.57,6.47,198675.0,78399.5,2.53,0.17742159369650398,4795525.0,1405000.0,1588738.12,2201251.5,1078000.0,899285.75,True,손익비 부족,1229200.0,1541392.86,1588738.12,9.71,13.08,14.3,0.68,45.79,1,"[36.09, 34.54, 32.93]",1.229,0.96,1397000.0,-0.57,베이스 형성,True,1375562.61,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,20,10,9,-5,0,79,69,관심 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,93.83,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']",['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.'],"VCP base 유형이며 점수는 69점, 손익비는 0.68입니다.",000150.KS,kr,kospi_kosdaq,두산,KOSPI,기타,naver_kospi,000150,복합기업,naver,2026-06-28T13:36:20,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,1387000.0,1436000.0,1405000.0,1.3,3.53,-2.16,14.3,15.97,갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,69.0,71.0,2.0,0.0,real,good,,True,,,98517966700.0,False,손익비 기준 미달: 0.68 < 1.20,66.3,proxy,inflow,0.18,0.55,1.46,0.2,1.0,neutral,1.0,52.37,5.0,5.0,71.0,69.1,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,2,
2,16130.0,16100.0,0.19,9.43,27.51,14001.0,12178.6,10549.5,64.81,759.33,581.1,178.23,125.43714499918735,1148.93,7.12,22966293.0,11952805.35,1.92,0.10198003494522323,2098518518.0,16130.0,16130.0,29100.0,12120.0,7160.0,True,손익비 부족,14001.0,17853.39,19002.32,10.68,17.81,15.21,0.7,57.41,2,"[44.7, 51.41, 28.0]",1.477,0.859,16500.0,2.29,베이스 형성,True,13827.33,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,20,10,13,-5,-5,78,71,관심 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,99.89,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","VCP base 유형이며 점수는 71점, 손익비는 0.7입니다.",010170.KQ,kr,kospi_kosdaq,대한광통신,KOSDAQ,반도체,naver_kosdaq,010170,통신장비,naver,2026-06-28T13:37:02,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,16100.0,16200.0,16130.0,0.19,0.62,-0.43,15.21,32.45,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,71.0,73.0,2.0,0.0,real,good,,True,,,175988547172.5,False,손익비 기준 미달: 0.70 < 1.20,58.9,proxy,neutral,0.1,0.49,2.96,0.25,0.0,neutral,1.0,53.4,12.0,7.5,73.0,67.4,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,1,
3,45350.0,44250.0,2.49,4.49,28.65,38177.5,31982.4,28649.48,67.27,3372.22,2648.31,723.91,769.0568547060352,4192.86,9.25,1671245.0,916170.55,1.82,0.09219879524926673,68517083.0,45350.0,45350.0,59350.0,32900.0,17220.0,True,손익비 부족,38177.5,51639.29,55832.14,13.87,23.11,18.79,0.74,57.18,2,"[32.63, 63.69, 36.36]",2.886,0.788,47450.0,4.63,베이스 형성,True,35644.24,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,16,6,13,-5,-5,70,67,관심 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,99.78,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","VCP base 유형이며 점수는 67점, 손익비는 0.74입니다.",327260.KQ,kr,kospi_kosdaq,RF머트리얼즈,KOSDAQ,기타,naver_kosdaq,327260,우주항공과국방,naver,2026-06-28T13:36:55,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,44250.0,46600.0,45350.0,2.49,5.31,-2.68,18.79,41.8,갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,67.0,69.0,2.0,0.0,real,good,,True,,,36950746220.0,False,손익비 기준 미달: 0.74 < 1.20,60.9,proxy,inflow,0.09,0.66,1.76,0.3,0.0,neutral,1.0,74.9,5.0,5.0,69.0,65.8,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,2,
4,20500.0,18520.0,10.69,35.31,15.49,16381.0,15736.0,17658.95,70.94,647.18,135.86,511.32,369.5120433433766,1252.86,6.11,1755006.0,562070.35,3.12,0.30152086019955004,319083571.0,20500.0,20500.0,36350.0,14650.0,11090.0,True,손익비 부족,17994.29,22379.29,23632.14,9.17,15.28,13.93,0.66,0.0,0,[],0.0,0.0,20600.0,0.0,해당없음,True,18659.0,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,8,10,13,-5,-6,65,54,관찰 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,박스권 돌파,84.59,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['RSI가 70 이상이라 단기 과열 가능성을 확인해야 합니다.', '5일 수익률이 10% 이상이라 추격 매수 부담이 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","박스권 돌파 유형이며 점수는 54점, 손익비는 0.66입니다.",456010.KQ,kr,kospi_kosdaq,아이씨티케이,KOSDAQ,반도체,naver_kosdaq,456010,통신장비,naver,2026-06-28T13:37:02,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,18520.0,19000.0,20500.0,10.69,2.59,7.89,25.14,30.27,최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,54.0,59.0,5.0,0.0,real,good,,True,,,10070904169.0,False,손익비 기준 미달: 0.66 < 1.20,75.4,proxy,strong_inflow,0.3,0.57,6.11,0.2,1.0,overheated,0.8,37.25,0.0,5.0,59.0,65.6,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,0,0,,1,
5,22400.0,22100.0,1.36,9.54,24.44,19936.0,15934.0,16118.5,68.86,1619.63,1542.62,77.01,65.40483974835684,1685.0,7.52,593966.0,331086.0,1.79,0.2061201080418603,44666616.0,22400.0,22400.0,26900.0,16170.0,8610.0,True,손익비 부족,19936.0,24927.5,26612.5,11.28,18.81,12.36,0.91,0.0,0,[],0.0,0.0,23350.0,0.0,해당없음,True,18313.33,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,16,10,13,-5,-5,74,61,관찰 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,박스권 돌파,97.27,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","박스권 돌파 유형이며 점수는 61점, 손익비는 0.91입니다.",080580.KQ,kr,kospi_kosdaq,오킨스전자,KOSDAQ,반도체,naver_kosdaq,080580,반도체와반도체장비,naver,2026-06-28T13:37:10,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,22100.0,22100.0,22400.0,1.36,0.0,1.36,12.36,40.58,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,61.0,66.0,5.0,0.0,real,good,,True,,,6679828852.5,False,손익비 기준 미달: 0.91 < 1.20,64.7,proxy,inflow,0.21,0.4,1.89,0.15,0.0,neutral,1.0,78.33,0.0,7.5,66.0,65.5,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,1,
6,14810.0,14530.0,1.93,11.86,19.15,13087.0,11694.8,10646.15,66.87,708.08,515.51,192.57,183.66829048040483,949.29,6.41,4211103.0,3123868.65,1.35,0.18607789797419955,188245047.0,14810.0,20050.0,22400.0,11940.0,6930.0,True,손익비 부족,13087.0,16233.93,17183.21,9.61,16.02,13.17,0.73,56.63,2,"[52.22, 54.0, 26.02]",1.142,0.821,15410.0,4.05,베이스 형성,True,11878.0,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,10,16,10,9,-5,-6,64,62,관찰 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,93.79,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['5일 수익률이 10% 이상이라 추격 매수 부담이 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","VCP base 유형이며 점수는 62점, 손익비는 0.73입니다.",093370.KS,kr,kospi_kosdaq,후성,KOSPI,화학·에너지,naver_kospi,093370,화학,naver,2026-06-28T13:36:46,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,14530.0,14650.0,14810.0,1.93,0.83,1.09,13.17,26.64,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,62.0,64.0,2.0,0.0,real,good,,True,,,42187022894.0,False,손익비 기준 미달: 0.73 < 1.20,67.1,proxy,inflow,0.19,0.42,1.77,0.15,0.0,neutral,1.0,55.14,0.0,5.0,64.0,65.2,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,0,
7,51100.0,50500.0,1.19,1.39,6.35,48200.0,46396.0,40323.07,59.13,1117.92,800.82,317.1,339.50641936789555,2289.29,4.48,1401067.0,1505988.0,0.93,0.1831644873493712,79249468.0,51100.0,51700.0,64400.0,43700.0,39200.0,True,손익비 부족,48200.0,54533.93,56823.21,6.72,11.2,6.02,1.12,77.26,3,"[28.41, 25.1, 16.44]",0.822,0.865,51800.0,1.37,베이스 형성,True,46250.0,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,3,20,6,13,-5,0,67,66,관심 후보,False,,True,good,,0.0,0.0,485,low,낮음,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,후보에는 남길 수 있지만 보수적인 접근이 필요합니다.,VCP 베이스 형성,90.61,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","VCP base 유형이며 점수는 66점, 손익비는 1.12입니다.",028050.KS,kr,kospi_kosdaq,삼성E&A,KOSPI,기타,naver_kospi,028050,건설,naver,2026-06-28T13:36:36,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,50500.0,50600.0,51100.0,1.19,0.2,0.99,6.02,10.14,,66.0,68.0,2.0,0.0,real,good,,True,,,73144815140.0,False,손익비 기준 미달: 1.12 < 1.20,60.8,proxy,inflow,0.18,0.22,1.56,0.05,0.0,neutral,1.0,67.68,0.0,10.0,68.0,65.1,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,0,0,,2,
8,45450.0,43250.0,5.09,7.7,10.58,41985.0,38551.0,53427.88,61.77,918.58,753.57,165.01,-22.06392198643607,2232.14,4.91,283148.0,118305.5,2.39,0.23141079601703168,14542625.0,45450.0,45450.0,88805.375,39350.0,30150.0,True,손익비 부족,41985.0,48798.21,51030.36,7.37,12.28,8.25,0.89,0.0,0,[],0.0,0.0,46250.0,0.0,해당없음,False,52597.3,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,25,15,20,10,13,-5,0,78,60,관찰 후보,False,,True,good,,0.0,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,박스권 돌파,87.55,,False,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']",['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.'],"박스권 돌파 유형이며 점수는 60점, 손익비는 0.89입니다.",001430.KS,kr,kospi_kosdaq,세아베스틸지주,KOSPI,기타,naver_kospi,001430,철강,naver,2026-06-28T13:36:51,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,43250.0,44000.0,45450.0,5.09,1.73,3.3,8.25,17.9,최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다.,60.0,65.0,5.0,0.0,real,good,,True,,,5023859465.0,False,손익비 기준 미달: 0.89 < 1.20,61.3,proxy,inflow,0.23,0.27,1.61,0.1,0.0,neutral,1.0,34.0,0.0,7.5,65.0,63.5,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다.,0,0,,2,
9,9200.0,8910.0,3.25,5.75,25.68,7985.0,7922.6,7733.6,61.96,359.79,199.0,160.79,173.0983819194159,748.57,8.14,1658917.0,900856.65,1.84,0.11187927683130469,79564669.0,9200.0,11770.0,15460.0,6640.0,5640.0,True,손익비 부족,7985.0,10322.86,11071.43,12.2,20.34,15.22,0.8,53.98,2,"[39.86, 43.25, 35.55]",0.944,1.011,9480.0,3.04,베이스 형성,True,8575.49,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,20,6,9,-5,-5,70,63,관찰 후보,False,,True,good,,0.0309,0.0227,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,82.04,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","VCP base 유형이며 점수는 63점, 손익비는 0.8입니다.",004710.KS,kr,kospi_kosdaq,한솔테크닉스,KOSPI,반도체,naver_kospi,004710,전자장비와기기,naver,2026-06-28T13:34:36,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,8910.0,9100.0,9200.0,3.25,2.13,1.1,15.22,16.12,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,63.0,65.0,2.0,0.0,real,good,,True,,,7493810757.0,False,손익비 기준 미달: 0.80 < 1.20,60.7,proxy,inflow,0.11,0.48,2.18,0.05,0.0,neutral,1.0,42.83,0.0,5.0,65.0,63.3,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,1,
10,260500.0,249500.0,4.41,4.2,57.97,216445.0,192722.0,124362.77,65.83,20660.46,17113.47,3546.99,3693.3662174227866,20185.71,7.75,310187.0,274011.85,1.13,0.17827312678985038,28923582.0,265500.0,300500.0,313333.34375,157500.0,107600.0,True,손익비 부족,220128.57,265500.0,300500.0,1.92,15.36,18.34,0.1,48.04,2,"[51.77, 51.96, 45.64]",1.431,1.189,275000.0,5.57,베이스 형성,True,158098.89,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,6,16,6,9,-5,-5,57,58,관찰 후보,False,,True,good,,0.0041,0.0,485,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,99.0,,True,2026-09-17,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.', 'ATR 비율이 높아 변동성이 크고 손절 관리 부담이 있습니다.']","VCP base 유형이며 점수는 58점, 손익비는 0.1입니다.",000500.KS,kr,kospi_kosdaq,가온전선,KOSPI,반도체,naver_kospi,000500,전기장비,naver,2026-06-28T13:37:04,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-3.15,True,True,True,249500.0,251000.0,260500.0,4.41,0.6,3.78,20.35,35.17,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,58.0,60.0,2.0,0.0,real,good,,True,,,62127241880.0,False,손익비 기준 미달: 0.10 < 1.20,65.5,proxy,inflow,0.18,0.5,1.99,0.1,0.0,neutral,1.0,81.36,0.0,5.0,60.0,62.2,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다.,0,0,,1,
