date,equity,benchmark_equity
2025-05-14,100000.0,
2025-05-14,99900.35,
2025-05-15,99976.68,
2025-05-16,100135.69,
2025-05-19,100190.81,
2025-05-20,100243.62,
2025-05-21,100324.49,
2025-05-22,100199.32,
2025-05-23,100031.96,
2025-05-27,100347.69,
2025-05-28,100083.56,
2025-05-29,99737.25,
2025-05-30,100073.05,
2025-06-02,100117.91,
2025-06-03,100442.49,
2025-06-04,100633.39,
2025-06-05,100645.04,
2025-06-06,100745.74,
2025-06-09,100697.79,
2025-06-10,100624.49,
2025-06-11,100539.54,
2025-06-12,100490.02,
2025-06-13,100142.71,
2025-06-16,100399.24,
2025-06-17,100278.88,
2025-06-18,100101.6,
2025-06-20,100101.6,
2025-06-23,100635.14,
2025-06-24,100691.56,
2025-06-25,100587.78,
2025-06-26,100217.23,
2025-06-27,100649.08,
2025-06-30,100649.08,
2025-07-01,100649.08,
2025-07-02,100649.08,
2025-07-03,100649.08,
2025-07-07,100649.08,
2025-07-08,100649.08,
2025-07-09,100649.08,
2025-07-10,100649.08,
2025-07-11,100649.08,
2025-07-14,100649.08,
2025-07-15,100649.08,
2025-07-16,100649.08,
2025-07-17,100649.08,
2025-07-18,100649.08,
2025-07-21,100649.08,
2025-07-22,100649.08,
2025-07-23,100649.08,
2025-07-24,100649.08,
2025-07-25,100649.08,
2025-07-28,100789.53,
2025-07-29,100628.92,
2025-07-30,100612.12,
2025-07-31,102096.09,
2025-08-01,102096.09,
2025-08-04,102096.09,
2025-08-05,102096.09,
2025-08-06,102096.09,
2025-08-07,102096.09,
2025-08-08,102096.09,
2025-08-11,102096.09,
2025-08-12,102096.09,
2025-08-13,102096.09,
2025-08-14,102096.09,
2025-08-15,102096.09,
2025-08-18,102096.09,
2025-08-19,102096.09,
2025-08-20,102096.09,
2025-08-21,102096.09,
2025-08-22,102096.09,
2025-08-25,102096.09,
2025-08-26,102096.09,
2025-08-27,102096.09,
2025-08-28,102096.09,
2025-08-29,101716.6,
2025-09-02,101331.77,
2025-09-03,101331.77,
2025-09-04,101331.77,
2025-09-05,101331.77,
2025-09-08,101331.77,
2025-09-09,101683.42,
2025-09-10,101764.52,
2025-09-11,102265.06,
2025-09-12,101446.45,
2025-09-15,101567.99,
2025-09-16,101567.99,
2025-09-17,101567.99,
2025-09-18,101567.99,
2025-09-19,101567.99,
2025-09-22,101567.99,
2025-09-23,101567.99,
2025-09-24,101567.99,
2025-09-25,101567.99,
2025-09-26,101567.99,
2025-09-29,101567.99,
2025-09-30,101567.99,
2025-10-01,101567.99,
2025-10-02,101567.99,
2025-10-03,101567.99,
2025-10-06,101762.47,
2025-10-07,101872.18,
2025-10-08,102608.97,
2025-10-09,102594.64,
2025-10-10,101901.39,
2025-10-13,101901.39,
2025-10-14,101901.39,
2025-10-15,101901.39,
2025-10-16,101901.39,
2025-10-17,101901.39,
2025-10-20,101901.39,
2025-10-21,101901.39,
2025-10-22,101901.39,
2025-10-23,101901.39,
2025-10-24,101901.39,
2025-10-27,101901.39,
2025-10-28,101901.39,
2025-10-29,101901.39,
2025-10-30,101901.39,
2025-10-31,101901.39,
2025-11-03,101901.39,
2025-11-04,101901.39,
2025-11-05,101901.39,
2025-11-06,101901.39,
2025-11-07,101901.39,
2025-11-10,101901.39,
2025-11-11,101901.39,
2025-11-12,101901.39,
2025-11-13,101901.39,
2025-11-14,101901.39,
2025-11-17,101901.39,
2025-11-18,101901.39,
2025-11-19,101901.39,
2025-11-20,101901.39,
2025-11-21,101901.39,
2025-11-24,101901.39,
2025-11-25,101901.39,
2025-11-26,101901.39,
2025-11-28,101901.39,
2025-12-01,101901.39,
2025-12-02,101901.39,
2025-12-03,101901.39,
2025-12-04,101901.39,
2025-12-05,101901.39,
2025-12-08,101901.39,
2025-12-09,101901.39,
2025-12-10,101901.39,
2025-12-11,101901.39,
2025-12-12,101901.39,
2025-12-15,101901.39,
2025-12-16,101901.39,
2025-12-17,101901.39,
2025-12-18,101901.39,
2025-12-19,101901.39,
2025-12-22,101901.39,
2025-12-23,101901.39,
2025-12-24,101901.39,
2025-12-26,101901.39,
2025-12-29,101901.39,
2025-12-30,101901.39,
2025-12-31,101901.39,
2026-01-02,101901.39,
2026-01-05,101901.39,
2026-01-06,101901.39,
2026-01-07,101901.39,
2026-01-08,101901.39,
2026-01-09,101901.39,
2026-01-12,101901.39,
2026-01-13,101901.39,
2026-01-14,101901.39,
2026-01-15,101901.39,
2026-01-16,101901.39,
2026-01-20,101901.39,
2026-01-21,101901.39,
2026-01-22,101901.39,
2026-01-23,101901.39,
2026-01-26,101901.39,
2026-01-27,101901.39,
2026-01-28,101901.39,
2026-01-29,101901.39,
2026-01-30,101901.39,
2026-02-02,101901.39,
2026-02-03,101901.39,
2026-02-04,101901.39,
2026-02-05,101901.39,
2026-02-06,101901.39,
2026-02-09,101901.39,
2026-02-10,101901.39,
2026-02-11,101901.39,
2026-02-12,101901.39,
2026-02-13,101901.39,
2026-02-17,101901.39,
2026-02-18,101901.39,
2026-02-19,101901.39,
2026-02-20,101901.39,
2026-02-23,101901.39,
2026-02-24,101901.39,
2026-02-25,101901.39,
2026-02-26,101901.39,
2026-02-27,101901.39,
2026-03-02,101901.39,
2026-03-03,101901.39,
2026-03-04,101901.39,
2026-03-05,101901.39,
2026-03-06,101901.39,
2026-03-09,101901.39,
2026-03-10,101901.39,
2026-03-11,101901.39,
2026-03-12,101901.39,
2026-03-13,101901.39,
2026-03-16,101901.39,
2026-03-17,101901.39,
2026-03-18,101901.39,
2026-03-19,101901.39,
2026-03-20,101901.39,
2026-03-23,101901.39,
2026-03-24,101901.39,
2026-03-25,101901.39,
2026-03-26,101901.39,
2026-03-27,101901.39,
2026-03-30,101901.39,
2026-03-31,101901.39,
