rank,current_price,previous_close,return_1d,return_5d,return_20d,ma20,ma50,ma200,rsi14,macd,macd_signal,macd_hist,macd_hist_prev,atr14,atr_pct,volume,volume_avg20,volume_ratio,cmf20,obv,high20,high60,high252,low20,low60,valid,exclude_reason,stop_loss,target1,target2,expected_return_1,expected_return_2,downside_risk,risk_reward,vcp_score,vcp_contractions,vcp_contraction_depths,vcp_volume_dryup,vcp_atr_compression,pivot_price,dist_to_pivot_pct,vcp_status,weekly_trend_ok,weekly_ma30,weekly_trend_reason,regime_state,regime_score,regime_message,trend_score,volume_score,momentum_score,macd_score,position_score,risk_reward_score,risk_penalty,base_score,final_score,decision,earnings_in_window,next_earnings_date,earnings_unknown,data_quality_flag,data_quality_reasons,zero_volume_ratio,stale_price_ratio,rows_after_quality,risk_reward_status_code,risk_reward_status_label,risk_reward_message,risk_reward_detail,chart_type,rs_rank,expected_r,valid_signal,signal_date,is_sample_data,evidence_points,risk_points,summary,ticker,market_region,universe_mode,name,market,sector,source,market_regime,market_comment,market_return_5d,market_above_ma20,market_above_ma60,market_above_ma200,prev_close,last_open,last_close,last_day_return,open_gap,intraday_return,distance_from_ma20,distance_from_ma60,chase_risk_warning,score,adjusted_score,chart_type_penalty,quality_penalty,data_source,data_quality,data_warning,passed_liquidity_filter,liquidity_warning,filter_reason,avg_dollar_volume_20d,passed_risk_reward_filter,risk_reward_warning,force_inflow_pct,force_inflow_source,force_inflow_grade,fi_cmf20,fi_obv_slope,fi_vol_asym,fi_accum_bar_ratio,fi_box_breakout,force_position,position_multiplier,price_percentile_252,force_penalty,force_sequence,chart_score,composite_score,composite_source,selection_reason,caution,consecutive_recommendation_days,recommended_count_last_5_sessions,consecutive_recommendation_comment,sector_count_in_top5,sector_concentration_warning
1,127.16,121.27999877929688,4.85,9.88,12.36,116.88,111.37,120.82,67.15,2.97,2.14,0.83,0.48208916646774114,3.93,3.09,4850018.0,2957730.9,1.64,0.12776323453290886,-14139082.0,127.16,127.16,154.71353149414062,108.14,101.23,True,손익비 부족,119.31,133.05,136.98,4.63,7.72,6.58,0.7,0.0,0,[],0.0,0.0,127.97000122070312,0.0,해당없음,False,126.65,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,16,10,13,-5,0,79,54,관찰 후보,False,,True,good,,0.0,0.0,501,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,박스권 돌파,37.84,,False,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']",['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.'],"박스권 돌파 유형이며 점수는 54점, 손익비는 0.7입니다.",DG,us,combined,Dollar General,,Consumer Staples,sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,121.28,123.09,127.16,4.85,1.49,3.31,8.8,14.18,,54.0,59.0,5.0,0.0,real,good,,True,,,346085817.44,False,손익비 기준 미달: 0.70 < 1.20,59.1,proxy,neutral,0.13,0.13,1.31,0.05,1.0,neutral,1.0,54.16,0.0,10.0,59.0,59.0,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다.,0,0,,1,
2,63.15,60.79999923706055,3.87,3.52,8.52,61.11,57.92,56.12,63.5,1.1,1.2,-0.1,-0.22237620889551635,1.59,2.53,1244677.0,2827163.85,0.44,0.07451316696538494,22740777.0,63.39,63.39,67.31098175048828,57.72,52.62,True,거래량 부족; 손익비 부족,61.11,63.39,67.14,0.38,6.31,3.34,0.11,73.44,2,"[15.37, 11.04, 10.73]",0.551,1.093,63.94,1.25,돌파 임박,True,59.52,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,20,4,12,-5,-5,56,52,관찰 후보,False,,True,good,,0.0,0.0,501,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 돌파 임박,38.8,,True,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","VCP breakout 유형이며 점수는 52점, 손익비는 0.11입니다.",BALL,us,combined,Ball Corporation,,Materials,sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,60.8,61.08,63.15,3.87,0.46,3.39,3.34,9.04,,52.0,57.0,5.0,0.0,real,good,,True,,,171448040.55,False,손익비 기준 미달: 0.11 < 1.20,61.2,proxy,inflow,0.07,0.37,1.61,0.0,0.0,neutral,1.0,80.55,0.0,12.5,57.0,58.7,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다.,0,0,,0,
3,298.41,276.2799987792969,8.01,5.59,6.64,279.44,271.67,215.91,64.3,3.54,3.37,0.17,-1.0913292917827535,9.83,3.29,2454379.0,1113903.95,2.2,0.06118016749189089,10696579.0,298.41,298.41,298.4100036621094,267.24,236.79,True,손익비 부족,279.44,313.15,322.98,4.94,8.23,6.79,0.73,53.56,2,"[12.39, 13.52, 11.47]",1.071,1.008,294.98,-1.15,베이스 형성,True,238.51,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,20,10,13,-5,0,83,71,관심 후보,False,,True,good,,0.0,0.0,501,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,93.63,,True,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']",['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.'],"VCP base 유형이며 점수는 71점, 손익비는 0.73입니다.",JBHT,us,combined,J.B. Hunt,,Industrials,sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,276.28,295.95,298.41,8.01,7.12,0.83,6.79,9.84,최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다.,71.0,73.0,2.0,0.0,real,good,,True,,,312130947.13,False,손익비 기준 미달: 0.73 < 1.20,34.3,proxy,weak,0.06,0.24,1.43,0.05,1.0,top,0.6,100.0,0.0,7.5,73.0,57.5,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 최근 하루 상승폭이 커서 바로 따라 사는 것은 위험할 수 있습니다. 갭상승 출발 이력이 있어 추격 진입에 주의가 필요합니다.,0,0,,1,
4,78.05,76.68000030517578,1.79,4.57,9.6,74.19,71.58,64.23,69.39,1.54,1.28,0.26,0.18752108677106905,1.57,2.01,2540976.0,2447253.8,1.04,0.14671895155348247,43554476.0,78.05,78.05,78.05000305175781,70.07,67.14,True,손익비 부족,74.91,80.4,81.97,3.02,5.03,4.19,0.72,61.39,2,"[9.47, 8.25, 10.94]",0.869,1.193,77.95,-0.13,베이스 형성,True,68.62,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,6,16,10,13,-5,0,70,64,관찰 후보,False,,True,good,,0.0,0.0,501,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,84.75,,True,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']",['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.'],"VCP base 유형이며 점수는 64점, 손익비는 0.72입니다.",EIX,us,combined,Edison International,,Utilities,sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,76.68,76.46,78.05,1.79,-0.29,2.08,5.21,9.04,,64.0,66.0,2.0,0.0,real,good,,True,,,180914988.43,False,손익비 기준 미달: 0.72 < 1.20,40.1,proxy,neutral,0.15,0.27,1.37,0.0,0.3,top,0.6,100.0,0.0,10.0,66.0,55.6,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다.,0,0,,1,
5,73.03,70.5199966430664,3.56,2.01,4.05,71.76,70.92,63.41,56.55,0.32,0.47,-0.15,-0.28677094649963764,1.7,2.33,9834906.0,7993315.3,1.23,0.16907771262489416,448069406.0,74.05,74.05,74.05000305175781,68.95,63.7,True,손익비 부족,71.76,74.05,77.28,1.4,5.81,1.78,0.79,64.88,2,"[14.0, 8.31, 8.2]",0.764,1.085,74.15,1.53,베이스 형성,True,66.09,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,10,20,4,12,-5,0,71,64,관찰 후보,False,,True,good,,0.0,0.0,501,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,71.62,,True,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.']",['손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.'],"VCP base 유형이며 점수는 64점, 손익비는 0.79입니다.",MO,us,combined,Altria,,Consumer Staples,sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,70.52,71.25,73.03,3.56,1.04,2.5,1.78,2.97,,64.0,66.0,2.0,0.0,real,good,,True,,,572568987.83,False,손익비 기준 미달: 0.79 < 1.20,39.2,proxy,weak,0.17,0.28,1.33,0.05,0.0,top,0.6,95.15,0.0,10.0,66.0,55.3,blend,거래량이 충분합니다. RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다.,0,0,,1,
6,27.01,26.450000762939453,2.12,3.92,9.93,25.28,24.63,24.14,64.35,0.65,0.57,0.09,0.06818399424854726,0.92,3.42,3377988.0,6317264.4,0.53,0.13716876263589772,2386688.0,27.01,27.76,31.544021606445312,23.01,18.71,True,거래량 부족; 손익비 부족,25.28,28.39,29.32,5.13,8.54,6.82,0.75,78.22,2,"[25.39, 15.25, 17.67]",0.459,0.881,27.28,1.0,돌파 임박,False,23.31,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,20,10,13,-5,-5,63,53,관찰 후보,False,,True,good,,0.0,0.0,501,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 돌파 임박,19.11,,False,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","VCP breakout 유형이며 점수는 53점, 손익비는 0.75입니다.",GEN,us,combined,Gen Digital,,Information Technology,sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,26.45,26.85,27.01,2.12,1.51,0.6,6.82,9.67,,53.0,58.0,5.0,0.0,real,good,,True,,,157210006.07,False,손익비 기준 미달: 0.75 < 1.20,48.0,proxy,neutral,0.14,0.3,1.24,0.0,0.0,neutral,1.0,67.02,0.0,7.5,58.0,54.0,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다.,0,0,,0,
7,22.33,21.739999771118164,2.71,3.52,11.15,21.3,20.23,17.62,69.46,0.57,0.6,-0.03,-0.05829962187530624,0.42,1.89,6565839.0,6752491.95,0.97,0.2038903354309969,-79187361.0,22.33,22.33,22.329999923706055,19.4,15.83,True,손익비 부족,21.49,22.96,23.38,2.83,4.72,3.92,0.72,81.39,2,"[21.15, 9.32, 13.6]",0.626,0.766,22.13,-0.9,돌파 임박,True,17.98,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,3,16,4,15,-5,0,63,58,관찰 후보,False,,True,good,,0.0,0.0,501,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 돌파 임박,64.29,,True,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","VCP breakout 유형이며 점수는 58점, 손익비는 0.72입니다.",DOC,us,combined,Healthpeak Properties,,Real Estate,sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,21.74,21.8,22.33,2.71,0.28,2.43,4.83,10.38,,58.0,63.0,5.0,0.0,real,good,,True,,,143443994.62,False,손익비 기준 미달: 0.72 < 1.20,38.2,proxy,weak,0.2,0.41,1.15,0.0,0.3,top,0.6,100.0,0.0,7.5,63.0,53.1,blend,현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다.,0,0,,1,
8,241.49,233.2899932861328,3.51,4.04,13.11,227.45,217.71,199.29,67.9,6.42,5.91,0.51,0.26191217274167844,5.15,2.13,1683654.0,3523017.7,0.48,0.21406614076978014,162321554.0,241.49,241.49,241.49000549316406,206.55,195.35,True,거래량 부족; 손익비 부족,231.2,249.21,254.35,3.2,5.33,4.45,0.72,65.3,1,"[10.59, 11.71, 16.08]",0.728,0.788,239.11,-0.99,베이스 형성,True,206.35,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,16,10,13,-5,-5,59,57,관찰 후보,False,,True,good,,0.0,0.0,501,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,VCP 베이스 형성,77.99,,True,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","VCP base 유형이며 점수는 57점, 손익비는 0.72입니다.",WELL,us,combined,Welltower,,Real Estate,sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,233.29,234.26,241.49,3.51,0.42,3.09,6.17,10.92,,57.0,59.0,2.0,0.0,real,good,,True,,,791732307.48,False,손익비 기준 미달: 0.72 < 1.20,43.9,proxy,neutral,0.21,0.37,1.36,0.0,0.3,top,0.6,100.0,0.0,12.5,59.0,53.0,blend,현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다.,0,0,,1,
9,56.73,55.52000045776367,2.18,25.18,29.97,45.45,44.45,52.62,81.43,2.25,0.93,1.32,0.991879606584206,2.13,3.75,33180467.0,20308628.35,1.63,0.2725130754780708,-30497433.0,56.73,56.73,77.54839324951172,41.7,40.7,True,손익비 부족; RSI 과열,52.47,59.92,62.05,5.63,9.38,8.12,0.69,0.0,0,[],0.0,0.0,57.66999816894531,0.0,해당없음,False,47.47,주봉 추세 미충족,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,15,8,10,13,-5,-16,55,36,제외,False,,True,good,,0.0,0.0,501,poor,부적합,기대 수익보다 손실 위험이 더 큽니다.,손익비가 1.0 미만이라 후보 적합성이 낮습니다.,박스권 돌파,7.14,,False,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', '현재 거래량이 20일 평균 이상이거나 비슷한 수준이라 신호의 신뢰도를 보강합니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['RSI가 70 이상이라 단기 과열 가능성을 확인해야 합니다.', '5일 수익률이 10% 이상이라 추격 매수 부담이 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","박스권 돌파 유형이며 점수는 36점, 손익비는 0.69입니다.",PYPL,us,combined,PayPal,,Financials,nasdaq100;sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,55.52,55.41,56.73,2.18,-0.2,2.38,24.81,27.63,20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,36.0,41.0,5.0,0.0,real,good,,True,,,968767831.58,False,손익비 기준 미달: 0.69 < 1.20,70.4,proxy,inflow,0.27,0.43,2.16,0.1,1.0,overheated,0.8,46.23,0.0,10.0,41.0,52.8,blend,거래량이 충분합니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,기대 수익보다 손실 위험이 더 큽니다. 20일 이동평균선보다 많이 위에 있어 단기 과열 가능성이 있습니다. RSI가 높아 단기 과열 구간일 수 있습니다.,0,0,,1,
10,75.04,73.79000091552734,1.69,1.5,7.52,72.93,70.23,69.01,62.13,1.34,1.3,0.04,0.035257254807699256,1.45,1.93,880802.0,2545210.1,0.35,0.08481957361058913,147327102.0,75.04,75.04,75.04000091552734,69.05,65.73,True,거래량 부족; 손익비 부족,72.93,77.21,78.66,2.89,4.82,2.89,1.0,73.0,2,"[7.57, 6.8, 9.87]",0.673,0.905,76.19,1.53,돌파 임박,True,69.56,주봉 상승 추세,neutral,0.5,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,30,0,20,10,12,-5,-5,62,58,관찰 후보,False,,True,good,,0.0,0.0,501,low,낮음,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,후보에는 남길 수 있지만 보수적인 접근이 필요합니다.,VCP 돌파 임박,54.44,,True,2026-07-16,False,"['현재가가 20일선과 50일선 위에 있어 단기 추세가 양호합니다.', '20일 이동평균선이 50일 이동평균선 위에 있어 상승 추세가 유지되고 있습니다.', 'RSI가 45~65 구간에 있어 과열 부담이 크지 않습니다.', 'MACD가 시그널선 위에 있어 모멘텀이 개선되고 있습니다.']","['거래량이 20일 평균보다 낮아 돌파 신뢰도가 약할 수 있습니다.', '손익비가 1.2 미만이라 매매 조건의 질이 낮습니다.']","VCP breakout 유형이며 점수는 58점, 손익비는 1.0입니다.",ES,us,combined,Eversource Energy,,Utilities,sp500,혼조,시장 방향성이 뚜렷하지 않아 종목별 선별이 중요합니다.,-1.26,True,True,True,73.79,73.79,75.04,1.69,0.0,1.69,2.89,6.85,,58.0,63.0,5.0,0.0,real,good,,True,,,184514681.7,False,손익비 기준 미달: 1.00 < 1.20,36.9,proxy,weak,0.08,0.34,1.23,0.0,0.0,top,0.6,100.0,0.0,12.5,63.0,52.6,blend,RSI가 과열 구간은 아닙니다. 현재가가 20일선 위에 있어 단기 추세가 양호합니다.,손익비가 낮습니다. 기대 수익 대비 손절 위험이 큰 편입니다.,0,0,,1,
